"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G01010",151.979144288311,0.572661576825928,0.196337359355295,2.91672241445211,0.00353730425148418,0.00934473945817508
"AT1G01020",120.869077846723,0.19551691930854,0.197809067974904,0.988412317545248,0.322950757442424,0.4419112708578
"AT1G01030",23.136236069358,-0.38398849314879,0.359336168592749,-1.06860518564715,0.285247610902807,0.401113567276404
"AT1G01040",774.803695875047,0.243462009596893,0.114420686459464,2.12777966231784,0.0333553563573896,0.0677744914824367
"AT1G01050",288.761411093758,0.0636689652176574,0.144932931709784,0.439299505409504,0.66044453252669,0.753876003282698
"AT1G01060",1766.20113455532,1.73175795469256,0.129664642238943,13.3556683209083,1.09768521378487e-40,5.31042933341209e-39
"AT1G01070",74.0658841804752,-0.0352986349823856,0.244588387492792,-0.144318523639745,0.885248951678299,0.923508172384523
"AT1G01080",484.485160889205,-1.02472413762479,0.142105860821369,-7.21099138136814,5.5545970844213e-13,5.26972823726421e-12
"AT1G01090",2576.60784089614,0.108171924638031,0.0984280939190456,1.098994406282,0.271770505795408,0.386148679547738
"AT1G01100",8749.42634388194,0.856373905021571,0.10063848732058,8.50940756187664,1.74824304613859e-17,2.32452327860484e-16
"AT1G01110",93.6965784824555,-1.05687842097377,0.225956771153136,-4.6773478642846,2.90609030973083e-06,1.3273465979555e-05
"AT1G01120",1037.93106353103,-0.620271324485902,0.117204171470395,-5.29222907942809,1.20834397855141e-07,6.61021641434182e-07
"AT1G01130",88.731752778694,-0.454273178426704,0.215208895136209,-2.1108475936331,0.0347854137907349,0.0703051248695803
"AT1G01140",897.610551986229,-0.635316151456376,0.158733306436043,-4.00241238414798,6.26998898133274e-05,0.000234591494211637
"AT1G01150",1.75875852039223,-0.360183560024076,0.736686818628782,-0.488923584508403,0.624895797832822,0.724648585709647
"AT1G01160",375.026217553112,-0.0810018608432018,0.50676953931456,-0.159839640229289,0.873007397117458,0.914769494968791
"AT1G01170",131.70550677218,-1.76659650755331,0.192134803030113,-9.19456797879785,3.76504461629369e-20,6.00805550590297e-19
"AT1G01180",149.558238637584,-0.81284946012377,0.23197314243725,-3.50406711563021,0.000458209859658686,0.00146482484193486
"AT1G01190",77.8333806010097,-0.0171383239161802,0.279739626547605,-0.0612652705935589,0.951147948876458,0.966522426135263
"AT1G01200",24.8571069382667,-0.21116645419862,0.403038836201437,-0.52393574819941,0.600323229749971,0.703353462002386
"AT1G01210",107.325442147247,0.840504632854133,0.20875830966746,4.02620922823628,5.66832563714167e-05,0.000213828380406714
"AT1G01220",475.144154393007,0.314812725706493,0.121451249630205,2.59209128489856,0.00953944557899405,0.0226795982528957
"AT1G01225",20.9127025813797,-0.549107416345703,0.421985952735787,-1.30124572343172,0.193174359068519,0.29320833500696
"AT1G01230",277.953477957226,0.0942082080025306,0.149518517220758,0.630077195478308,0.528644079086265,0.641238402424119
"AT1G01240",130.171422783066,-2.73724779509789,0.226882836384143,-12.0645873382126,1.62474730344676e-33,5.50801371033661e-32
"AT1G01250",63.4292557171936,1.5199115679578,0.4270680556395,3.55894464099371,0.000372347997448772,0.0012111330158014
"AT1G01260",255.501207713148,-0.0274215201425726,0.148130025879971,-0.185117905567586,0.853136557712913,0.900498789229266
"AT1G01280",0,NA,NA,NA,NA,NA
"AT1G01290",136.85563255996,0.0829061652187973,0.200961738616975,0.412547014120002,0.679938528637759,0.770668846937335
"AT1G01300",1842.41426461076,-0.214489268332653,0.215773071560104,-0.994050215728176,0.320198420781695,0.438953194240019
"AT1G01305",0,NA,NA,NA,NA,NA
"AT1G01310",0.663532367833342,0.451214354076134,0.638029417290297,0.707199921897701,0.479442247095724,NA
"AT1G01320",8043.13496351654,-0.101085076872463,0.113676552688433,-0.889234186662215,0.373877233350378,0.494733865191506
"AT1G01335",0,NA,NA,NA,NA,NA
"AT1G01340",125.917778924482,1.2840232618992,0.182584390930724,7.03249196360048,2.02876995244608e-12,1.83422926992587e-11
"AT1G01350",395.836085181585,0.406749330702285,0.136618886501566,2.97725549605926,0.00290841524820589,0.00785844894754247
"AT1G01355",2.02423239812845,0.3817835492145,0.722859043548695,0.528157671432357,0.597389905587552,0.700784899154186
"AT1G01360",91.5401602246279,-0.724131417702968,0.25940330624971,-2.79152732543005,0.00524599279125552,0.0132983331164617
"AT1G01370",58.99030009346,-0.825347484175413,0.28514240847803,-2.89450975945939,0.00379751104501158,0.00994147640350074
"AT1G01380",14.766940487329,0.817804576482617,0.481949551080501,1.69686759672076,0.0897216953830733,0.156677469127813
"AT1G01390",40.2896781835147,-1.92754658755563,0.322097062900407,-5.98436561388837,2.17234858940086e-09,1.46248463581229e-08
"AT1G01400",0,NA,NA,NA,NA,NA
"AT1G01410",0,NA,NA,NA,NA,NA
"AT1G01420",145.115239253338,0.182615181715913,0.229617800888999,0.795300630042144,0.426438647153675,0.546861441538755
"AT1G01430",191.563145786583,-1.26991418715698,0.176399921920165,-7.1990632044141,6.06276448985144e-13,5.73045187200621e-12
"AT1G01440",235.948688679217,-0.263084708708172,0.1462342747104,-1.79906324443555,0.0720086769778523,0.130434145118673
"AT1G01450",0,NA,NA,NA,NA,NA
"AT1G01453",4.53232516402923,0.302316315577478,0.620583141617986,0.487148772345439,0.62615290538091,0.725848882159644
"AT1G01460",0,NA,NA,NA,NA,NA
"AT1G01470",2103.11183457763,1.49001920835009,0.266332467606622,5.59458342326809,2.21152114756971e-08,1.32964367892374e-07
"AT1G01480",44.2961902169411,0.694655508346941,0.302370058399332,2.29736870120099,0.0215977456790808,0.0465316095378314
"AT1G01490",1275.0126347288,-1.01692015334678,0.148730897444776,-6.83731605750822,8.06905925161505e-12,6.91810726319622e-11
"AT1G01500",611.779908307355,0.40383379449865,0.257981744362583,1.5653580275474,0.117498984111168,0.195629311220595
"AT1G01510",1066.90063763978,0.200524522757144,0.166688283463884,1.2029911076539,0.228979761683233,0.337187652420277
"AT1G01520",52.3525246678608,0.274818203135178,0.250443443500769,1.0973264034933,0.272498732777799,0.387015175158539
"AT1G01530",0,NA,NA,NA,NA,NA
"AT1G01540",1635.22782390689,-0.684463056105236,0.188385677936581,-3.6333072853641,0.000279811453166148,0.000932691257509246
"AT1G01550",1427.2951710138,0.242678497164352,0.11582161604139,2.09527811352268,0.0361462768905493,0.0726513178819885
"AT1G01560",87.3913913608828,2.20095996964481,0.231943805904144,9.48919485504348,2.32825582655407e-21,3.99681005844237e-20
"AT1G01570",37.1239495508554,-0.398671995972226,0.406848697430948,-0.979902353109758,0.327134321320095,0.446674304837266
"AT1G01580",876.483635662377,0.560559573780546,0.163775587924751,3.42272972964752,0.000619956858097507,0.00193276195965194
"AT1G01590",0.836079602016365,0.791347690255222,0.692958385303848,1.14198443519553,0.253460489498663,0.365665874525131
"AT1G01600",183.378597628304,0.536192799264768,0.315093680737223,1.70169328058322,0.088812880693864,0.15548199440882
"AT1G01610",891.903153635517,-0.196811712181225,0.135169877336455,-1.45603233545397,0.14538368098853,0.233313329971284
"AT1G01620",3828.66538235103,-1.84272735162877,0.475410811224302,-3.87607372008072,0.000106155533698645,0.000382063082357047
"AT1G01630",723.984491605285,0.354641952985442,0.123057635404049,2.88191750004789,0.00395263208865316,0.0102969125779429
"AT1G01640",38.0925111244965,-0.373088688532851,0.333190382604566,-1.11974627123508,0.262821900991735,0.376072633841538
"AT1G01650",598.661783081435,0.454508630597128,0.139919569790139,3.24835640417442,0.00116073779753847,0.00341052427081057
"AT1G01660",15.9168184127838,0.631296137870472,0.406211061931443,1.55410868150365,0.120158494737808,0.199404368343263
"AT1G01670",6.65903113168713,0.159931556541041,0.557248315709052,0.287002314825378,0.774110547792299,0.843723346755474
"AT1G01680",90.2842915975072,4.75625171728783,0.341856276414008,13.913015630954,5.28052238988738e-44,2.9909453922721e-42
"AT1G01690",59.1970368632663,-0.51670710477972,0.309363533248205,-1.67022628476758,0.094874601410221,0.163813136955413
"AT1G01695",0.714675796599509,0.230252521720175,0.69605043231957,0.330798618934643,0.74079660414449,NA
"AT1G01700",17.1901182109792,0.0759384957259731,0.452819764146697,0.167701372021765,0.866818216760856,0.910047772716951
"AT1G01710",195.054664454745,-0.212757561073351,0.165111411959452,-1.28856969090423,0.197547726104752,0.298677543208129
"AT1G01715",29.3871863812752,0.689584633793866,0.336516703254948,2.04918396954409,0.0404441289923593,0.0800106340219726
"AT1G01720",868.309148561635,-0.720206407077638,0.201604188251138,-3.57237819970525,0.000353754028488868,0.0011557614839964
"AT1G01725",15.1617424713697,-0.225186211460894,0.4416619378762,-0.509861032045771,0.610148823936391,0.711804003983505
"AT1G01730",360.12546137753,0.470052524275868,0.58015288301629,0.810221819172911,0.417812699334556,0.538697768699158
"AT1G01740",51.9500467616413,0.938069412378934,0.265391157286836,3.53466717568537,0.000408289071711251,0.00131775441861334
"AT1G01750",9.6812268309822,-0.0704405924699128,0.489770670276767,-0.143823623472813,0.88563974798109,0.923705303238436
"AT1G01760",31.194638846438,0.0140886600787465,0.321133258291982,0.0438716941175142,0.965006678390618,0.976183538376399
"AT1G01770",341.482027013816,-1.62853848438252,0.152061225252244,-10.7097551113445,9.16038046134964e-27,2.19264629808644e-25
"AT1G01780",137.507350286798,-0.818132783763619,0.307403313721425,-2.66143124437828,0.00778092303256777,0.0189076725207728
"AT1G01790",1220.16002470841,0.147318720716519,0.131653553993425,1.11898779978151,0.263145343873823,0.37648836462828
"AT1G01800",436.079737655646,-0.447735802827569,0.135797353940502,-3.29708782855769,0.000976929466019986,0.00291005948593274
"AT1G01810",21.7553685683,2.7250630085833,0.432989536839496,6.29360013748657,3.10186244561202e-10,2.28231248691125e-09
"AT1G01820",310.075053245667,-0.731179872390063,0.154992867483943,-4.71750658117098,2.38752679785682e-06,1.10348971349945e-05
"AT1G01830",260.292595559981,-0.299626728054423,0.170853456098959,-1.75370598228272,0.0794808999569538,0.141769540394027
"AT1G01840",4.44267044593187,-0.00657124191698598,0.656075432806121,-0.0100159853401002,0.992008533553398,0.994572873874098
"AT1G01860",54.6874766294476,-0.551796662589539,0.297976068879714,-1.8518153644489,0.0640523405838947,0.11812362940896
"AT1G01880",28.4320868522087,-0.0645884328574569,0.348582375043767,-0.185288865650041,0.853002470746506,0.900498789229266
"AT1G01900",127.533152749682,0.544967248460111,0.248171671366431,2.19592850972686,0.0280970607541109,0.058454863281782
"AT1G01910",739.982042093943,0.666148307541976,0.126398330751524,5.27023026001427,1.36252723229207e-07,7.40411081846104e-07
"AT1G01920",140.062269585669,-0.315303434065288,0.176833453762648,-1.78305307822863,0.0745776634887485,0.134417192313566
"AT1G01930",245.184516423172,-0.0217175859325646,0.154189831504802,-0.14084966382422,0.887988708049488,0.925535565425811
"AT1G01940",388.613382261022,1.44891316548179,0.239210389170991,6.05706621064056,1.38626540203251e-09,9.59235294669188e-09
"AT1G01950",364.804265013274,-0.37038489894309,0.151337953315139,-2.44740259022677,0.0143890014190647,0.0325777698102757
"AT1G01960",1553.37454925687,-0.269876259153979,0.156343843909852,-1.72617131832571,0.0843165963658822,0.148897721457052
"AT1G01970",360.59175426399,0.451439059254328,0.140133553619686,3.22149155283328,0.00127525221559805,0.00372024432043986
"AT1G01980",1.02577655382882,-0.00993309414621032,0.702426983331638,-0.014141105598047,0.988717406203567,0.992186133673474
"AT1G01990",392.388497172181,0.421356133534918,0.187882955421145,2.24265225438059,0.0249192477800587,0.0527012150601741
"AT1G02000",368.77148268825,0.243068899383432,0.135485049979441,1.79406435928034,0.0728028969114123,0.131609178012156
"AT1G02010",132.479037596991,-0.354976801527719,0.187157502839985,-1.89667417090521,0.0578709546972804,0.108430447583548
"AT1G02020",664.796263676233,0.0814988966362213,0.19421871737262,0.419624317052103,0.674759921258373,0.766013359039308
"AT1G02030",9.0111154067559,-0.5895701793539,0.512437235457104,-1.15052173917064,0.249929045702077,0.361749885542806
"AT1G02040",0.184644677475304,0.182089945292157,0.472409100608267,0.385449698275713,0.699904267673219,NA
"AT1G02050",135.68365569794,0.0252271401761667,0.299858438186372,0.0841301659834805,0.932952940670764,0.955458384415015
"AT1G02060",124.274452725696,0.267590893832075,0.181051662040784,1.47798087471739,0.139412897410891,0.225391078949655
"AT1G02065",66.8984208103809,-0.90365220654375,0.247698464740923,-3.6481946203781,0.000264089560217459,0.000884408225736298
"AT1G02067",0,NA,NA,NA,NA,NA
"AT1G02070",1.1981377355195,-0.373977147623786,0.735328432586992,-0.508585185953004,0.611043014892163,0.712601165635212
"AT1G02080",1725.63122152164,0.480723281988829,0.126220380615031,3.80860269669939,0.000139754301774996,0.000491621473868906
"AT1G02090",576.707473856377,1.04359343934819,0.120168102601329,8.68444634438834,3.805915495367e-18,5.25910412321758e-17
"AT1G02100",299.012415592665,-0.315955690579329,0.138521429699253,-2.2809156046491,0.0225534413754271,0.0482959385171157
"AT1G02110",1211.88955634816,-0.121707306476448,0.173248799005221,-0.702500145312872,0.482367311127837,0.60054467794006
"AT1G02120",899.440538594005,-0.496152841412465,0.137127965353316,-3.618174018218,0.000296688889961645,0.000985360213206433
"AT1G02130",436.587142429597,-0.242629317557695,0.251861032429929,-0.963345997659237,0.335373917063487,0.455613948240547
"AT1G02140",1065.55289509134,0.490314715781432,0.112977875041007,4.33991802026252,1.42535880963301e-05,5.87155457080688e-05
"AT1G02145",175.627611975921,-0.61623588447173,0.18416596386999,-3.3460899697338,0.000819597975090058,0.00248244347637138
"AT1G02150",2125.71364516111,0.160537680277384,0.200419384875992,0.80100874661758,0.423126582279536,0.543694642475476
"AT1G02160",325.830742054705,-0.30879295253552,0.133298751108073,-2.31654797939677,0.0205283679343495,0.0445092517947432
"AT1G02170",769.461130265059,-0.17779792186772,0.161819718183685,-1.09874077067603,0.271881153605415,0.38623394822155
"AT1G02180",21.2845095297187,-0.687124077303912,0.396063705056271,-1.73488271844118,0.0827615807312785,0.146660981326868
"AT1G02190",9.66263381566021,-2.08487632642276,0.55867328641886,-3.73183464666259,0.000190090268259262,0.000654012270121289
"AT1G02205",582.369963195783,-1.31461911241976,0.150224996049255,-8.75100114490086,2.1146822873549e-18,2.98521127585085e-17
"AT1G02210",0,NA,NA,NA,NA,NA
"AT1G02220",87.9292584615402,0.6449301382198,0.214902583769017,3.00103482661236,0.00269063789856292,0.00732712924346248
"AT1G02230",7.80438733158953,0.417620155065965,0.524231679381038,0.796632808530478,0.425664317297536,0.546113286203158
"AT1G02250",0.40668657669658,-0.48104317020652,0.634639124692481,-0.757979064778922,0.448463515762808,NA
"AT1G02260",273.694727424683,0.325376266078226,0.150733410167694,2.15862074450673,0.0308796020289781,0.0634522669528718
"AT1G02270",523.239882193733,0.890927864600211,0.127496890308487,6.98783995785741,2.7915055428593e-12,2.48940067565274e-11
"AT1G02280",470.28839948449,-0.215666709782853,0.128138915317939,-1.68306957529443,0.0923616234419355,0.160308785590246
"AT1G02290",77.410410398182,-0.330173783839192,0.229425920029134,-1.43913025955073,0.150113620099695,0.239327145365603
"AT1G02300",175.515884547773,-0.11722202146701,0.163573279057658,-0.716633071992707,0.473600532430861,0.592693518382029
"AT1G02305",654.980325788774,-0.499717991575767,0.129265832073835,-3.8658165391326,0.000110718145261787,0.000396799266722862
"AT1G02310",11.4840796332042,0.679029164403539,0.512746758336185,1.32429733267729,0.185404316037394,0.283181320265129
"AT1G02320",0,NA,NA,NA,NA,NA
"AT1G02330",762.951295942686,1.15686302224948,0.141592174888799,8.17038811048727,3.07398926299886e-16,3.72377428825849e-15
"AT1G02335",186.339946415308,-0.120278694805819,0.266904225469298,-0.4506436516482,0.652246400266979,0.746963104265138
"AT1G02340",32.9751151454283,-1.03254007130791,0.340720223482278,-3.0304631194327,0.00244179006296984,0.00671724192899068
"AT1G02350",10.6114686183003,-1.2621676606668,0.560733821373709,-2.25092122600111,0.0243905270976206,0.0517216598623717
"AT1G02360",312.851417768761,-0.202750462948838,0.245886892268211,-0.824567999857754,0.409616895180557,0.53091268266308
