,cortext-endodermis.csv
AT5G65130,0.0
AT2G02070,0.0
AT1G46768,0.0
AT1G06180,0.0
AT1G79580,0.0
AT1G59640,0.0
AT4G16750,0.0
AT2G18160,0.0
AT4G16150,0.0
AT4G34590,0.0
AT4G14770,0.0
AT5G06960,0.0
AT5G58900,0.0
AT3G01970,0.0
AT3G56400,0.0
AT5G13080,0.0
AT3G46590,0.0
AT4G01250,0.0
AT1G08320,0.0
AT2G22430,0.0
AT1G03800,0.0
AT1G62300,0.0
AT1G34190,0.0
AT1G75080,0.0
AT1G25550,0.0
AT5G52660,0.0
AT3G03200,0.0
AT2G23340,0.0
AT5G45580,0.0
AT5G17800,0.0
AT3G53200,0.0
AT2G36270,0.0
AT1G78700,0.0
AT3G20310,0.0
AT5G60850,0.0
AT1G51700,0.0
AT3G49530,0.0
AT1G80840,0.0
AT3G50060,0.0
AT1G33240,0.0
AT4G25490,0.0
AT2G28810,0.0
AT5G19790,0.0
AT2G46680,0.0
AT2G20400,0.0
AT1G68550,0.0
AT1G75390,0.0
AT1G72010,0.0
AT5G51190,0.0
AT4G01680,0.0
AT4G29230,0.0
AT5G11510,0.0
AT3G10480,0.0
AT2G03340,0.0
AT5G13910,0.0
AT1G49480,0.0
AT1G68670,0.0
AT5G29000,0.0
AT3G18400,0.0
AT1G02230,0.0
AT1G30490,0.0
AT5G59430,0.0
AT1G44830,0.0
AT3G18990,0.0
AT4G24240,0.0
AT1G74840,0.0
AT1G69010,0.0
AT1G29160,0.0
AT5G05790,0.0
AT3G60530,0.0
AT2G18060,0.0
AT3G01220,0.0
AT2G38470,0.0
AT4G27950,0.0
AT1G18330,0.0
AT1G75240,0.0
AT4G37180,0.0
AT3G15500,0.0
AT5G63260,0.0
AT5G14960,0.0
AT1G69490,0.0
AT3G10800,0.0
AT1G71450,0.0
