,cortext-endodermis.csv
AT3G28920,1.0
AT5G52830,1.0
AT3G12250,0.84
AT3G21890,0.8
AT2G23290,0.125
AT5G07310,0.005
AT2G40260,0.005
AT2G46590,0.005
AT5G47390,0.0
AT2G20110,0.0
AT1G19210,0.0
AT2G31230,0.0
AT3G61150,0.0
AT1G19850,0.0
AT1G13450,0.0
AT4G26640,0.0
AT3G62420,0.0
AT3G50260,0.0
AT2G35530,0.0
AT1G69180,0.0
AT2G33550,0.0
AT3G11280,0.0
AT4G24020,0.0
AT5G24110,0.0
AT5G18270,0.0
AT4G05100,0.0
AT3G10113,0.0
AT5G62470,0.0
AT5G65310,0.0
AT3G24050,0.0
AT1G30650,0.0
AT3G02940,0.0
AT3G04060,0.0
AT2G01940,0.0
AT5G04410,0.0
AT5G61620,0.0
AT1G01250,0.0
AT3G20770,0.0
AT1G52150,0.0
AT5G66700,0.0
AT2G01060,0.0
AT2G42430,0.0
AT5G65210,0.0
AT5G51990,0.0
AT2G02080,0.0
AT4G18880,0.0
AT5G65510,0.0
AT2G43000,0.0
AT5G08330,0.0
AT1G06850,0.0
AT5G15830,0.0
AT1G76890,0.0
AT1G70920,0.0
AT5G47660,0.0
AT2G46770,0.0
AT4G36160,0.0
AT3G42860,0.0
AT5G39610,0.0
AT5G13180,0.0
AT2G40740,0.0
AT4G36740,0.0
AT2G30340,0.0
AT2G18350,0.0
AT4G31060,0.0
AT1G02250,0.0
AT2G46270,0.0
AT5G25190,0.0
AT5G64750,0.0
AT3G13810,0.0
AT5G09410,0.0
AT1G08010,0.0
AT1G20910,0.0
AT5G17300,0.0
AT2G23320,0.0
AT2G37590,0.0
AT5G54230,0.0
AT3G12130,0.0
AT4G37260,0.0
AT4G01550,0.0
AT1G34370,0.0
AT1G53230,0.0
AT5G02840,0.0
AT1G16490,0.0
AT5G06950,0.0
AT1G49560,0.0
AT1G69780,0.0
AT3G16280,0.0
AT5G02320,0.0
AT2G02450,0.0
AT1G01720,0.0
AT1G27730,0.0
AT1G12260,0.0
AT4G22070,0.0
AT1G52880,0.0
AT4G18770,0.0
AT5G67190,0.0
AT1G53170,0.0
AT1G28370,0.0
AT5G45300,0.0
AT5G67580,0.0
AT4G01540,0.0
AT2G41690,0.0
AT1G50640,0.0
AT1G34180,0.0
AT5G13790,0.0
AT2G45680,0.0
AT5G04390,0.0
AT1G45249,0.0
AT4G38170,0.0
AT2G38340,0.0
AT3G55370,0.0
AT1G13260,0.0
AT3G50410,0.0
AT4G31800,0.0
AT5G67300,0.0
AT5G62020,0.0
AT1G01060,0.0
AT1G68320,0.0
AT3G47500,0.0
AT3G17730,0.0
AT3G09735,0.0
AT3G11440,0.0
AT3G04030,0.0
AT5G05550,0.0
AT5G25810,0.0
AT2G30250,0.0
AT1G03840,0.0
AT4G10350,0.0
AT3G27010,0.0
AT2G47070,0.0
AT1G32150,0.0
AT1G74650,0.0
AT1G53910,0.0
AT3G10030,0.0
AT5G10510,0.0
AT5G06839,0.0
AT4G06746,0.0
AT1G34670,0.0
AT3G24120,0.0
AT5G07680,0.0
AT1G28470,0.0
AT3G14180,0.0
AT5G47230,0.0
AT5G62320,0.0
AT1G32870,0.0
AT3G09600,0.0
AT2G01930,0.0
AT1G64620,0.0
AT4G18890,0.0
AT1G19000,0.0
AT4G15090,0.0
AT2G36010,0.0
AT5G39760,0.0
AT1G43700,0.0
AT4G36780,0.0
AT3G60580,0.0
AT1G55110,0.0
AT2G40620,0.0
AT4G32730,0.0
AT1G79180,0.0
AT5G06100,0.0
AT2G30590,0.0
AT2G02820,0.0
AT3G12730,0.0
AT2G44940,0.0
AT2G33710,0.0
AT1G12630,0.0
AT5G16820,0.0
AT3G25990,0.0
AT3G10500,0.0
AT1G77920,0.0
AT1G22070,0.0
AT5G08130,0.0
AT1G29280,0.0
AT2G22540,0.0
AT1G54330,0.0
AT5G66730,0.0
AT3G04070,0.0
AT3G56850,0.0
AT5G08750,0.0
AT3G24520,0.0
AT1G35460,0.0
AT5G47220,0.0
AT5G64060,0.0
AT1G68200,0.0
AT1G69570,0.0
AT5G10030,0.0
AT1G43160,0.0
AT4G18170,0.0
AT4G34410,0.0
AT2G45480,0.0
AT4G17980,0.0
AT5G03150,0.0
AT1G09540,0.0
AT3G22760,0.0
AT5G08520,0.0
AT4G25470,0.0
AT2G44840,0.0
AT3G15210,0.0
AT1G12610,0.0
AT5G52020,0.0
AT1G22810,0.0
AT2G18550,0.0
AT3G22830,0.0
AT5G46350,0.0
AT3G01530,0.0
AT2G35700,0.0
AT1G76880,0.0
AT4G23550,0.0
AT4G18450,0.0
AT4G00730,0.0
AT5G11260,0.0
AT2G06200,0.0
AT4G11660,0.0
AT1G51140,0.0
AT4G25480,0.0
AT5G46590,0.0
AT1G20980,0.0
AT1G36060,0.0
AT4G01280,0.0
AT1G69690,0.0
AT5G62000,0.0
AT3G06490,0.0
AT1G72740,0.0
AT5G47370,0.0
AT5G23280,0.0
AT5G01380,0.0
