,TFID,targetID
54768,AT1G01720,AT3G46130
106092,AT1G01720,AT3G07010
211344,AT1G01720,AT4G17040
145152,AT1G01720,AT3G01480
176232,AT1G01720,AT4G25770
12852,AT1G01720,AT5G14570
154896,AT1G01720,AT5G51180
130032,AT1G01720,AT4G10080
83580,AT1G01720,AT4G25080
211008,AT1G01720,AT5G53880
23520,AT1G01720,AT2G18969
175476,AT1G01720,AT2G33360
9576,AT1G01720,AT4G00460
154224,AT1G01720,AT2G45590
184800,AT1G01720,AT3G12930
12684,AT1G01720,AT4G38860
210672,AT1G01720,AT1G48620
182280,AT1G01720,AT1G18620
220584,AT1G01720,AT2G29340
71064,AT1G01720,AT2G37380
30660,AT1G01720,AT5G04950
210168,AT1G01720,AT4G21215
194208,AT1G01720,AT5G49570
9996,AT1G01720,AT5G18840
65604,AT1G01720,AT3G26280
146244,AT1G01720,AT4G04040
30828,AT1G01720,AT3G55610
93408,AT1G01720,AT1G53310
170100,AT1G01720,AT2G02400
204120,AT1G01720,AT2G39930
1680,AT1G01720,AT1G58300
230160,AT1G01720,AT2G44120
120036,AT1G01720,AT1G66130
1344,AT1G01720,AT1G71000
195048,AT1G01720,AT5G48020
56868,AT1G01720,AT5G51545
112476,AT1G01720,AT2G40205
46956,AT1G01720,AT2G33450
49140,AT1G01720,AT3G22760
117012,AT1G01720,AT5G55220
164724,AT1G01720,AT1G78240
202188,AT1G01720,AT5G22090
22260,AT1G01720,AT5G28300
143808,AT1G01720,AT5G25070
176484,AT1G01720,AT3G50530
112728,AT1G01720,AT1G12640
4452,AT1G01720,AT3G28380
195804,AT1G01720,AT2G31170
174804,AT1G01720,AT3G01910
128940,AT1G01720,AT5G07090
125076,AT1G01720,AT3G19480
146664,AT1G01720,AT2G19400
33600,AT1G01720,AT5G39240
87780,AT1G01720,AT4G24220
111972,AT1G01720,AT1G48030
46620,AT1G01720,AT3G05330
50316,AT1G01720,AT4G27840
32172,AT1G01720,AT2G25060
95172,AT1G01720,AT5G56530
22596,AT1G01720,AT3G47010
72660,AT1G01720,AT4G32560
82908,AT1G01720,AT3G16050
22512,AT1G01720,AT4G30350
41328,AT1G01720,AT5G63310
124908,AT1G01720,AT4G21350
61992,AT1G01720,AT3G60390
202608,AT1G01720,AT5G65670
129108,AT1G01720,AT1G14460
65184,AT1G01720,AT3G14280
124404,AT1G01720,AT1G28260
169932,AT1G01720,AT1G60600
51828,AT1G01720,AT5G06530
148848,AT1G01720,AT2G17280
67116,AT1G01720,AT3G43790
49392,AT1G01720,AT5G09300
49308,AT1G01720,AT1G66970
206892,AT1G01720,AT2G35780
133056,AT1G01720,AT1G16590
26628,AT1G01720,AT3G19590
28476,AT1G01720,AT1G09350
87024,AT1G01720,AT4G12420
26544,AT1G01720,AT2G43700
38220,AT1G01720,AT5G40800
208488,AT1G01720,AT4G08810
133224,AT1G01720,AT3G50750
26124,AT1G01720,AT2G46680
69552,AT1G01720,AT5G67290
86772,AT1G01720,AT1G60140
89376,AT1G01720,AT1G03630
149016,AT1G01720,AT3G45620
132636,AT1G01720,AT1G04990
52920,AT1G01720,AT2G23790
149604,AT1G01720,AT1G51560
108444,AT1G01720,AT5G60980
207396,AT1G01720,AT3G54030
168084,AT1G01720,AT5G14850
150948,AT1G01720,AT1G76580
109452,AT1G01720,AT2G22450
149100,AT1G01720,AT4G17640
207060,AT1G01720,AT5G14720
11844,AT1G01720,AT3G55240
169092,AT1G01720,AT2G24820
52248,AT1G01720,AT1G74650
132300,AT1G01720,AT4G34990
192612,AT1G01720,AT1G09310
195888,AT1G01720,AT5G55860
221340,AT1G01720,AT1G06190
10752,AT1G01720,AT5G15190
228816,AT1G01720,AT3G09500
191016,AT1G01720,AT2G03350
107352,AT1G01720,AT2G25737
205044,AT1G01720,AT5G23880
