,TFID,targetID
0,AT1G01720,AT1G47128
2419,AT1G01720,AT5G50915
32882,AT1G01720,AT4G40060
15744,AT1G01720,AT5G24150
15867,AT1G01720,AT1G50590
16031,AT1G01720,AT2G45340
16154,AT1G01720,AT1G10240
42189,AT1G01720,AT5G59220
2255,AT1G01720,AT1G72650
32308,AT1G01720,AT1G16130
33005,AT1G01720,AT4G01950
32226,AT1G01720,AT1G34060
16441,AT1G01720,AT1G02816
16523,AT1G01720,AT5G47440
32103,AT1G01720,AT1G21000
31980,AT1G01720,AT4G01680
16687,AT1G01720,AT5G42050
16851,AT1G01720,AT3G11410
31611,AT1G01720,AT1G72770
2050,AT1G01720,AT1G73080
31570,AT1G01720,AT5G37300
32185,AT1G01720,AT2G32140
17097,AT1G01720,AT4G15440
15539,AT1G01720,AT1G72500
33374,AT1G01720,AT1G69790
34276,AT1G01720,AT2G42350
13940,AT1G01720,AT2G41140
2952,AT1G01720,AT1G64200
14063,AT1G01720,AT1G31130
14227,AT1G01720,AT5G14880
2911,AT1G01720,AT2G35940
34030,AT1G01720,AT4G22980
2870,AT1G01720,AT3G23430
14391,AT1G01720,AT2G30520
15170,AT1G01720,AT3G21890
33907,AT1G01720,AT1G35910
14514,AT1G01720,AT5G13140
33825,AT1G01720,AT1G61890
14719,AT1G01720,AT4G26850
14760,AT1G01720,AT2G39660
33620,AT1G01720,AT3G45940
14924,AT1G01720,AT1G48260
33579,AT1G01720,AT2G24550
33538,AT1G01720,AT2G29300
2665,AT1G01720,AT1G19350
14432,AT1G01720,AT2G32530
31447,AT1G01720,AT2G39650
17179,AT1G01720,AT4G28250
42394,AT1G01720,AT1G66090
19639,AT1G01720,AT5G66600
19844,AT1G01720,AT5G67350
19885,AT1G01720,AT1G18710
19926,AT1G01720,AT2G43340
1230,AT1G01720,AT4G30200
20049,AT1G01720,AT3G16910
42927,AT1G01720,AT1G21910
1148,AT1G01720,AT1G34370
20213,AT1G01720,AT2G46535
19516,AT1G01720,AT5G16370
28905,AT1G01720,AT1G01720
28700,AT1G01720,AT5G10946
20582,AT1G01720,AT1G77280
28536,AT1G01720,AT4G14370
20746,AT1G01720,AT1G17750
28249,AT1G01720,AT5G01840
21197,AT1G01720,AT3G56270
21279,AT1G01720,AT1G73880
28003,AT1G01720,AT3G52800
820,AT1G01720,AT5G01890
20418,AT1G01720,AT3G60110
29725,AT1G01720,AT4G38060
19147,AT1G01720,AT3G51980
29889,AT1G01720,AT5G40210
31324,AT1G01720,AT2G45450
31283,AT1G01720,AT1G68440
1845,AT1G01720,AT2G33360
1804,AT1G01720,AT1G27320
31078,AT1G01720,AT3G10150
17507,AT1G01720,AT1G55850
17589,AT1G01720,AT1G14130
42476,AT1G01720,AT3G21150
17999,AT1G01720,AT1G26100
1681,AT1G01720,AT5G25220
30504,AT1G01720,AT3G17510
42599,AT1G01720,AT3G09870
30381,AT1G01720,AT3G45650
18245,AT1G01720,AT4G05050
18409,AT1G01720,AT1G14370
30176,AT1G01720,AT1G48300
30094,AT1G01720,AT2G42760
42722,AT1G01720,AT1G22190
18860,AT1G01720,AT5G13170
18983,AT1G01720,AT4G15550
29930,AT1G01720,AT1G07135
13817,AT1G01720,AT3G14067
13776,AT1G01720,AT3G25590
13571,AT1G01720,AT3G54600
41738,AT1G01720,AT1G07900
38827,AT1G01720,AT5G45110
7544,AT1G01720,AT2G20340
38581,AT1G01720,AT4G26950
38540,AT1G01720,AT3G23250
7749,AT1G01720,AT2G04570
38458,AT1G01720,AT5G46780
4305,AT1G01720,AT3G53190
38417,AT1G01720,AT3G48240
7872,AT1G01720,AT5G01820
7216,AT1G01720,AT1G07720
38335,AT1G01720,AT5G24590
8118,AT1G01720,AT4G31590
8241,AT1G01720,AT5G57900
37802,AT1G01720,AT4G25620
8487,AT1G01720,AT2G25790
37761,AT1G01720,AT3G28340
8651,AT1G01720,AT1G64660
8774,AT1G01720,AT1G01830
37597,AT1G01720,AT2G30040
37474,AT1G01720,AT3G61890
7995,AT1G01720,AT1G49840
39196,AT1G01720,AT2G36800
6724,AT1G01720,AT4G30490
4551,AT1G01720,AT5G66730
40467,AT1G01720,AT4G13395
5002,AT1G01720,AT2G38750
40344,AT1G01720,AT4G21440
4838,AT1G01720,AT5G46170
5125,AT1G01720,AT2G01180
40508,AT1G01720,AT3G46600
40262,AT1G01720,AT5G59820
5166,AT1G01720,AT1G66130
40221,AT1G01720,AT4G01360
5248,AT1G01720,AT3G15770
5781,AT1G01720,AT4G04750
39811,AT1G01720,AT3G19580
5904,AT1G01720,AT5G62620
6150,AT1G01720,AT3G21790
39688,AT1G01720,AT2G23810
6191,AT1G01720,AT4G08980
39606,AT1G01720,AT3G46620
39524,AT1G01720,AT5G16200
40672,AT1G01720,AT4G39670
39483,AT1G01720,AT3G50800
6642,AT1G01720,AT5G45800
37351,AT1G01720,AT1G20310
27880,AT1G01720,AT2G35950
41000,AT1G01720,AT3G50930
9389,AT1G01720,AT1G66250
36121,AT1G01720,AT5G17350
36080,AT1G01720,AT3G18710
11767,AT1G01720,AT1G53300
3403,AT1G01720,AT5G55730
11890,AT1G01720,AT3G26230
12013,AT1G01720,AT2G47060
35670,AT1G01720,AT1G68620
3362,AT1G01720,AT2G39220
12300,AT1G01720,AT5G13820
11234,AT1G01720,AT4G22820
35506,AT1G01720,AT2G41150
12382,AT1G01720,AT3G55370
41656,AT1G01720,AT4G34410
12464,AT1G01720,AT5G62520
12792,AT1G01720,AT2G46680
12915,AT1G01720,AT1G11700
41697,AT1G01720,AT5G61600
13284,AT1G01720,AT1G64780
34768,AT1G01720,AT5G42440
13530,AT1G01720,AT2G30490
3321,AT1G01720,AT1G74160
11193,AT1G01720,AT3G16510
36162,AT1G01720,AT5G25190
11111,AT1G01720,AT1G12240
9471,AT1G01720,AT3G54680
36982,AT1G01720,AT2G23320
3895,AT1G01720,AT4G17790
36777,AT1G01720,AT5G62470
36736,AT1G01720,AT1G69260
10004,AT1G01720,AT4G19160
3813,AT1G01720,AT2G24280
36695,AT1G01720,AT5G40800
10045,AT1G01720,AT4G01070
3772,AT1G01720,AT1G45191
36654,AT1G01720,AT3G56880
3690,AT1G01720,AT1G52340
36531,AT1G01720,AT5G53200
10332,AT1G01720,AT1G17420
36449,AT1G01720,AT3G01830
41328,AT1G01720,AT1G23710
36408,AT1G01720,AT2G23180
3608,AT1G01720,AT3G03680
10701,AT1G01720,AT3G53540
36285,AT1G01720,AT5G11070
11070,AT1G01720,AT1G08230
9225,AT1G01720,AT1G27100
43173,AT1G01720,AT5G52050
33251,AT1G01720,AT2G25460
23329,AT1G01720,AT2G34150
24149,AT1G01720,AT4G30960
25502,AT1G01720,AT5G49520
26158,AT1G01720,AT1G52565
25256,AT1G01720,AT1G46264
25584,AT1G01720,AT5G15190
24641,AT1G01720,AT4G02420
22263,AT1G01720,AT5G54530
27634,AT1G01720,AT5G04760
615,AT1G01720,AT3G28050
82,AT1G01720,AT3G44310
574,AT1G01720,AT3G60080
43419,AT1G01720,AT1G72910
26773,AT1G01720,AT4G02890
22099,AT1G01720,AT3G48520
23288,AT1G01720,AT3G60390
26527,AT1G01720,AT5G24380
43255,AT1G01720,AT5G51990
26609,AT1G01720,AT1G66230
43214,AT1G01720,AT3G02840
24108,AT1G01720,AT5G24830
22878,AT1G01720,AT5G24155
24928,AT1G01720,AT2G40140
21976,AT1G01720,AT1G67400
23452,AT1G01720,AT5G04530
492,AT1G01720,AT1G72510
24354,AT1G01720,AT3G22550
410,AT1G01720,AT2G36910
23985,AT1G01720,AT1G67340
23534,AT1G01720,AT2G39800
27142,AT1G01720,AT1G55920
22222,AT1G01720,AT4G30470
27019,AT1G01720,AT1G62422
22632,AT1G01720,AT1G51660
27429,AT1G01720,AT3G63450
22673,AT1G01720,AT3G28070
32883,AT1G14687,AT4G40060
15171,AT1G14687,AT3G21890
32924,AT1G14687,AT3G03280
37065,AT1G14687,AT1G13080
15622,AT1G14687,AT1G27690
32965,AT1G14687,AT2G43290
15212,AT1G14687,AT2G38970
15417,AT1G14687,AT3G23920
32801,AT1G14687,AT1G75000
26815,AT1G14687,AT4G10955
41042,AT1G14687,AT5G39860
32760,AT1G14687,AT3G49810
9964,AT1G14687,AT3G28040
22961,AT1G14687,AT1G79520
37188,AT1G14687,AT1G01180
32719,AT1G14687,AT1G14600
2338,AT1G14687,AT1G29950
9226,AT1G14687,AT1G27100
36778,AT1G14687,AT5G62470
15581,AT1G14687,AT2G24600
2420,AT1G14687,AT5G50915
33170,AT1G14687,AT5G64310
33129,AT1G14687,AT1G58420
9595,AT1G14687,AT2G14080
15376,AT1G14687,AT1G32900
9554,AT1G14687,AT5G55640
25585,AT1G14687,AT5G15190
2461,AT1G14687,AT5G20885
42108,AT1G14687,AT4G11660
3896,AT1G14687,AT4G17790
9841,AT1G14687,AT1G60260
33252,AT1G14687,AT2G25460
15909,AT1G14687,AT5G01100
9923,AT1G14687,AT1G03610
15540,AT1G14687,AT1G72500
9513,AT1G14687,AT3G57070
43666,AT1G14687,AT1G80840
37024,AT1G14687,AT5G21940
33006,AT1G14687,AT4G01950
23043,AT1G14687,AT1G49010
36860,AT1G14687,AT2G41310
24068,AT1G14687,AT1G64610
2502,AT1G14687,AT5G22630
16852,AT1G14687,AT3G11410
24109,AT1G14687,AT5G24830
32678,AT1G14687,AT4G27657
31981,AT1G14687,AT4G01680
37762,AT1G14687,AT3G28340
42272,AT1G14687,AT5G10990
16647,AT1G14687,AT2G29510
31940,AT1G14687,AT4G16780
31899,AT1G14687,AT2G17880
37803,AT1G14687,AT4G25620
16811,AT1G14687,AT3G20310
22756,AT1G14687,AT2G01670
12055,AT1G14687,AT3G54720
8365,AT1G14687,AT1G70740
37885,AT1G14687,AT4G13540
4224,AT1G14687,AT3G46590
22674,AT1G14687,AT3G28070
16975,AT1G14687,AT5G26030
31571,AT1G14687,AT5G37300
42354,AT1G14687,AT3G18950
24150,AT1G14687,AT4G30960
31489,AT1G14687,AT1G67750
493,AT1G14687,AT1G72510
17098,AT1G14687,AT4G15440
8160,AT1G14687,AT3G57040
8119,AT1G14687,AT4G31590
31448,AT1G14687,AT2G39650
38295,AT1G14687,AT3G16860
4265,AT1G14687,AT1G61350
31407,AT1G14687,AT3G07350
8529,AT1G14687,AT2G43800
37229,AT1G14687,AT5G19970
16606,AT1G14687,AT5G67250
16565,AT1G14687,AT1G68710
32637,AT1G14687,AT1G25400
9021,AT1G14687,AT2G18090
37434,AT1G14687,AT4G05100
16155,AT1G14687,AT1G10240
32473,AT1G14687,AT1G64080
33334,AT1G14687,AT5G46690
37475,AT1G14687,AT3G61890
32432,AT1G14687,AT5G67420
8857,AT1G14687,AT3G55120
16319,AT1G14687,AT5G65683
43379,AT1G14687,AT1G77640
42190,AT1G14687,AT5G59220
37557,AT1G14687,AT5G45850
32350,AT1G14687,AT1G13650
25503,AT1G14687,AT5G49520
37598,AT1G14687,AT2G30040
32268,AT1G14687,AT3G48390
8734,AT1G14687,AT5G03555
16401,AT1G14687,AT5G42680
26938,AT1G14687,AT4G22190
16483,AT1G14687,AT5G65820
452,AT1G14687,AT3G63000
16524,AT1G14687,AT5G47440
8693,AT1G14687,AT2G37630
32104,AT1G14687,AT1G21000
42231,AT1G14687,AT5G26920
37721,AT1G14687,AT3G29000
165,AT1G14687,AT2G28470
3855,AT1G14687,AT5G15600
15007,AT1G14687,AT5G60800
25626,AT1G14687,AT1G19700
36081,AT1G14687,AT3G18710
35097,AT1G14687,AT3G44720
12916,AT1G14687,AT1G11700
36122,AT1G14687,AT5G17350
11235,AT1G14687,AT4G22820
12957,AT1G14687,AT1G24100
26036,AT1G14687,AT1G63750
23699,AT1G14687,AT1G65060
3199,AT1G14687,AT1G64710
13080,AT1G14687,AT4G13575
36163,AT1G14687,AT5G25190
13121,AT1G14687,AT4G00820
34851,AT1G14687,AT5G41750
13244,AT1G14687,AT2G37180
11112,AT1G14687,AT1G12240
26446,AT1G14687,AT1G80520
13285,AT1G14687,AT1G64780
23740,AT1G14687,AT5G20670
36204,AT1G14687,AT1G27730
13408,AT1G14687,AT2G46270
34687,AT1G14687,AT1G66400
23289,AT1G14687,AT3G60390
13531,AT1G14687,AT2G30490
41370,AT1G14687,AT4G15248
10784,AT1G14687,AT5G15870
3568,AT1G14687,AT1G21410
34605,AT1G14687,AT1G18740
3486,AT1G14687,AT2G15580
12793,AT1G14687,AT2G46680
11399,AT1G14687,AT2G32540
36040,AT1G14687,AT3G26440
12096,AT1G14687,AT1G42990
12014,AT1G14687,AT2G47060
26323,AT1G14687,AT1G34640
11932,AT1G14687,AT3G44630
3363,AT1G14687,AT2G39220
23535,AT1G14687,AT2G39800
41575,AT1G14687,AT1G30190
35630,AT1G14687,AT5G06320
12260,AT1G14687,AT1G09070
35589,AT1G14687,AT2G27420
35876,AT1G14687,AT5G25130
12301,AT1G14687,AT5G13820
35548,AT1G14687,AT1G04220
10743,AT1G14687,AT1G68530
43502,AT1G14687,AT4G37610
35958,AT1G14687,AT2G35710
23453,AT1G14687,AT5G04530
12465,AT1G14687,AT5G62520
35384,AT1G14687,AT1G53170
41493,AT1G14687,AT3G46090
11645,AT1G14687,AT1G45249
12547,AT1G14687,AT3G22810
41452,AT1G14687,AT5G10930
35343,AT1G14687,AT4G27652
35302,AT1G14687,AT5G13090
12629,AT1G14687,AT1G29690
12670,AT1G14687,AT5G56850
11481,AT1G14687,AT3G17800
11768,AT1G14687,AT1G53300
411,AT1G14687,AT2G36910
10702,AT1G14687,AT3G53540
13777,AT1G14687,AT3G25590
10128,AT1G14687,AT4G17770
36573,AT1G14687,AT1G77855
14679,AT1G14687,AT1G51140
41247,AT1G14687,AT1G60590
26733,AT1G14687,AT4G36380
14720,AT1G14687,AT4G26850
36614,AT1G14687,AT4G18880
33744,AT1G14687,AT5G65640
33703,AT1G14687,AT4G37770
10087,AT1G14687,AT2G28950
2748,AT1G14687,AT3G62980
41985,AT1G14687,AT1G60190
206,AT1G14687,AT1G22930
10046,AT1G14687,AT4G01070
14884,AT1G14687,AT3G52720
25708,AT1G14687,AT1G62300
36696,AT1G14687,AT5G40800
41165,AT1G14687,AT1G02390
33580,AT1G14687,AT2G24550
23084,AT1G14687,AT1G15290
17221,AT1G14687,AT4G14550
2666,AT1G14687,AT1G19350
42026,AT1G14687,AT4G32480
10005,AT1G14687,AT4G19160
15048,AT1G14687,AT1G21060
23986,AT1G14687,AT1G67340
41124,AT1G14687,AT3G48100
33867,AT1G14687,AT2G20750
36532,AT1G14687,AT5G53200
14556,AT1G14687,AT5G39030
10251,AT1G14687,AT1G79670
26569,AT1G14687,AT1G73010
36327,AT1G14687,AT1G49780
34277,AT1G14687,AT2G42350
698,AT1G14687,AT5G65140
13941,AT1G14687,AT2G41140
10620,AT1G14687,AT4G13100
23781,AT1G14687,AT2G17260
23207,AT1G14687,AT3G27250
13982,AT1G14687,AT2G36950
34195,AT1G14687,AT3G55840
36409,AT1G14687,AT2G23180
34154,AT1G14687,AT1G80850
14064,AT1G14687,AT1G31130
26528,AT1G14687,AT5G24380
41862,AT1G14687,AT2G41640
14146,AT1G14687,AT2G32990
23822,AT1G14687,AT3G43700
2912,AT1G14687,AT2G35940
10374,AT1G14687,AT4G01090
34031,AT1G14687,AT4G22980
14269,AT1G14687,AT5G37790
43461,AT1G14687,AT4G11280
33990,AT1G14687,AT3G22540
33949,AT1G14687,AT1G59910
10333,AT1G14687,AT1G17420
23166,AT1G14687,AT5G64660
26692,AT1G14687,AT2G22420
25831,AT1G14687,AT1G05870
34113,AT1G14687,AT1G59590
7873,AT1G14687,AT5G01820
35794,AT1G14687,AT2G44500
22633,AT1G14687,AT1G51660
19435,AT1G14687,AT5G55120
21157,AT1G14687,AT3G56370
21116,AT1G14687,AT1G30500
42846,AT1G14687,AT1G69490
6643,AT1G14687,AT5G45800
40099,AT1G14687,AT3G24780
29603,AT1G14687,AT1G17830
19599,AT1G14687,AT5G47050
6561,AT1G14687,AT4G36780
24601,AT1G14687,AT5G02950
29644,AT1G14687,AT5G65920
39484,AT1G14687,AT3G50800
29521,AT1G14687,AT3G15115
1272,AT1G14687,AT1G66350
40714,AT1G14687,AT1G72520
20952,AT1G14687,AT5G15860
28291,AT1G14687,AT5G35370
40058,AT1G14687,AT3G19380
4716,AT1G14687,AT2G29400
29398,AT1G14687,AT2G20180
42887,AT1G14687,AT2G35930
6438,AT1G14687,AT3G18490
5413,AT1G14687,AT2G39700
20911,AT1G14687,AT2G18560
5331,AT1G14687,AT5G11430
40140,AT1G14687,AT2G46940
4429,AT1G14687,AT2G28070
29972,AT1G14687,AT1G31290
25011,AT1G14687,AT5G37550
24765,AT1G14687,AT1G03440
7053,AT1G14687,AT5G02230
1436,AT1G14687,AT4G15560
1067,AT1G14687,AT2G05920
29931,AT1G14687,AT1G07135
83,AT1G14687,AT3G44310
42764,AT1G14687,AT1G33760
1354,AT1G14687,AT2G24150
944,AT1G14687,AT3G51950
29849,AT1G14687,AT1G51700
5249,AT1G14687,AT3G15770
19189,AT1G14687,AT1G69800
6766,AT1G14687,AT3G57400
19271,AT1G14687,AT1G14360
29726,AT1G14687,AT4G38060
39361,AT1G14687,AT3G56400
6684,AT1G14687,AT2G17440
19353,AT1G14687,AT4G30440
39402,AT1G14687,AT4G23810
29890,AT1G14687,AT5G40210
19804,AT1G14687,AT5G15950
22141,AT1G14687,AT3G20600
19845,AT1G14687,AT5G67350
20173,AT1G14687,AT1G27360
5946,AT1G14687,AT3G26000
1149,AT1G14687,AT1G34370
39771,AT1G14687,AT2G41010
20214,AT1G14687,AT2G46535
5905,AT1G14687,AT5G62620
39976,AT1G14687,AT1G35210
29070,AT1G14687,AT3G30180
20706,AT1G14687,AT4G34000
20665,AT1G14687,AT2G15020
40632,AT1G14687,AT3G16720
25175,AT1G14687,AT2G05940
28578,AT1G14687,AT5G53750
20378,AT1G14687,AT2G36870
39935,AT1G14687,AT2G05160
28865,AT1G14687,AT2G37170
28824,AT1G14687,AT3G45680
42969,AT1G14687,AT1G20823
39853,AT1G14687,AT3G01350
5782,AT1G14687,AT4G04750
20542,AT1G14687,AT1G19770
24724,AT1G14687,AT4G23180
4675,AT1G14687,AT2G03890
20132,AT1G14687,AT3G46540
29193,AT1G14687,AT4G04610
40017,AT1G14687,AT3G50060
17262,AT1G14687,AT2G20240
4593,AT1G14687,AT4G38900
5495,AT1G14687,AT1G68130
19886,AT1G14687,AT1G18710
20829,AT1G14687,AT3G22150
29316,AT1G14687,AT1G19000
39525,AT1G14687,AT5G16200
19927,AT1G14687,AT2G43340
42,AT1G14687,AT4G23890
25257,AT1G14687,AT1G46264
28455,AT1G14687,AT3G59080
1231,AT1G14687,AT4G30200
43215,AT1G14687,AT3G02840
