,TFID,targetID
23296,AT1G01720,AT4G24750
15264,AT1G01720,AT4G21910
6304,AT1G01720,AT3G47070
15552,AT1G01720,AT3G15030
25952,AT1G01720,AT2G36570
20960,AT1G01720,AT5G53370
6336,AT1G01720,AT1G65960
25888,AT1G01720,AT2G36050
20768,AT1G01720,AT3G56060
16128,AT1G01720,AT4G33360
31616,AT1G01720,AT5G04950
24160,AT1G01720,AT3G22550
8672,AT1G01720,AT5G59770
20736,AT1G01720,AT1G13100
896,AT1G01720,AT4G18670
16384,AT1G01720,AT4G08870
6432,AT1G01720,AT5G22880
16608,AT1G01720,AT3G28920
16640,AT1G01720,AT3G13510
4736,AT1G01720,AT4G21210
21024,AT1G01720,AT5G43700
20608,AT1G01720,AT3G46130
29792,AT1G01720,AT4G04750
31808,AT1G01720,AT1G80640
5952,AT1G01720,AT3G57800
2336,AT1G01720,AT3G26740
21760,AT1G01720,AT2G04570
13856,AT1G01720,AT2G22170
608,AT1G01720,AT4G27430
13888,AT1G01720,AT1G75800
26496,AT1G01720,AT4G23290
29440,AT1G01720,AT3G28220
4928,AT1G01720,AT1G66970
6048,AT1G01720,AT1G23360
21600,AT1G01720,AT1G04250
23712,AT1G01720,AT5G24420
6112,AT1G01720,AT4G10180
32000,AT1G01720,AT5G53880
6144,AT1G01720,AT1G03630
14528,AT1G01720,AT3G25560
31904,AT1G01720,AT3G10520
21152,AT1G01720,AT4G23790
31840,AT1G01720,AT5G55620
28448,AT1G01720,AT2G20340
13728,AT1G01720,AT2G05100
25728,AT1G01720,AT2G46450
25664,AT1G01720,AT1G52410
28224,AT1G01720,AT3G21560
1440,AT1G01720,AT4G28750
7904,AT1G01720,AT5G49980
25088,AT1G01720,AT1G58602
19808,AT1G01720,AT4G10470
30816,AT1G01720,AT3G27690
30784,AT1G01720,AT3G45860
19584,AT1G01720,AT3G05130
7584,AT1G01720,AT1G32080
30688,AT1G01720,AT2G24280
24832,AT1G01720,AT5G55730
7552,AT1G01720,AT5G50950
30656,AT1G01720,AT4G23600
19488,AT1G01720,AT4G31590
24768,AT1G01720,AT3G14220
24736,AT1G01720,AT3G19370
19232,AT1G01720,AT5G42070
24704,AT1G01720,AT1G49580
19296,AT1G01720,AT2G35620
25248,AT1G01720,AT5G67385
16800,AT1G01720,AT1G32060
25312,AT1G01720,AT4G27900
17824,AT1G01720,AT3G12750
20512,AT1G01720,AT3G20830
31392,AT1G01720,AT5G24780
17024,AT1G01720,AT5G08370
8416,AT1G01720,AT5G23210
6592,AT1G01720,AT2G29320
6656,AT1G01720,AT1G68560
3936,AT1G01720,AT2G35780
17312,AT1G01720,AT3G49680
20224,AT1G01720,AT1G25440
20160,AT1G01720,AT2G43150
8256,AT1G01720,AT2G39930
28640,AT1G01720,AT2G03350
6752,AT1G01720,AT2G27820
17568,AT1G01720,AT1G26761
17632,AT1G01720,AT5G62900
17664,AT1G01720,AT4G36530
1024,AT1G01720,AT5G42030
6816,AT1G01720,AT1G55910
20032,AT1G01720,AT1G74160
30208,AT1G01720,AT1G24070
13696,AT1G01720,AT2G45340
19328,AT1G01720,AT4G32980
29152,AT1G01720,AT3G54600
11424,AT1G01720,AT5G38410
32608,AT1G01720,AT4G38860
13024,AT1G01720,AT3G52500
29248,AT1G01720,AT4G00050
384,AT1G01720,AT3G43540
3072,AT1G01720,AT1G65230
29184,AT1G01720,AT1G19330
23360,AT1G01720,AT5G50160
5120,AT1G01720,AT5G46580
10272,AT1G01720,AT3G19480
11776,AT1G01720,AT3G51450
22144,AT1G01720,AT2G01990
27008,AT1G01720,AT3G23810
32960,AT1G01720,AT5G61420
12672,AT1G01720,AT5G49630
10656,AT1G01720,AT2G41940
32672,AT1G01720,AT4G12030
22272,AT1G01720,AT1G72910
32736,AT1G01720,AT1G64390
26912,AT1G01720,AT5G05250
12576,AT1G01720,AT3G22104
12512,AT1G01720,AT2G30070
10464,AT1G01720,AT1G09310
10560,AT1G01720,AT3G12930
256,AT1G01720,AT4G01070
