,TFID,targetID
8100,AT1G01720,AT5G12050
13572,AT1G01720,AT4G03510
11952,AT1G01720,AT5G50915
972,AT1G01720,AT2G29340
8532,AT1G01720,AT1G78240
10944,AT1G01720,AT3G51450
10098,AT1G01720,AT5G05600
12996,AT1G01720,AT2G28085
11988,AT1G01720,AT3G55240
2898,AT1G01720,AT3G44310
10926,AT1G01720,AT3G50750
8352,AT1G01720,AT3G07650
2880,AT1G01720,AT3G15850
13500,AT1G01720,AT1G74670
6066,AT1G01720,AT5G24150
1818,AT1G01720,AT5G14370
10530,AT1G01720,AT1G69890
7362,AT1G01720,AT2G26710
9648,AT1G01720,AT2G37585
9594,AT1G01720,AT3G07010
6264,AT1G01720,AT3G14850
2502,AT1G01720,AT4G36360
10998,AT1G01720,AT1G70640
13662,AT1G01720,AT5G62520
12960,AT1G01720,AT5G61600
4698,AT1G01720,AT3G45140
5382,AT1G01720,AT5G54940
10134,AT1G01720,AT4G13790
5418,AT1G01720,AT5G23750
10512,AT1G01720,AT4G30270
7308,AT1G01720,AT1G07620
3816,AT1G01720,AT3G50240
5094,AT1G01720,AT1G09390
13608,AT1G01720,AT5G47370
1890,AT1G01720,AT5G42250
9504,AT1G01720,AT5G23360
8586,AT1G01720,AT4G21380
8820,AT1G01720,AT5G62900
12978,AT1G01720,AT2G27500
468,AT1G01720,AT5G27320
1872,AT1G01720,AT1G68490
3222,AT1G01720,AT5G55250
918,AT1G01720,AT5G49630
5040,AT1G01720,AT1G44350
576,AT1G01720,AT2G24280
10548,AT1G01720,AT1G35350
8676,AT1G01720,AT5G23210
10692,AT1G01720,AT2G38750
8262,AT1G01720,AT3G13750
9828,AT1G01720,AT1G19180
12402,AT1G01720,AT5G10750
6120,AT1G01720,AT1G76240
2808,AT1G01720,AT1G49840
4914,AT1G01720,AT3G51660
13176,AT1G01720,AT4G04450
12276,AT1G01720,AT5G05410
6948,AT1G01720,AT4G23550
3474,AT1G01720,AT5G63320
8316,AT1G01720,AT3G17640
5670,AT1G01720,AT5G07670
12348,AT1G01720,AT5G67190
13248,AT1G01720,AT5G47220
1566,AT1G01720,AT1G53320
4932,AT1G01720,AT5G55730
2772,AT1G01720,AT1G26761
7020,AT1G01720,AT5G50950
7704,AT1G01720,AT4G32980
3528,AT1G01720,AT4G35100
4662,AT1G01720,AT1G64390
9666,AT1G01720,AT4G35180
9684,AT1G01720,AT3G28070
1764,AT1G01720,AT2G31360
12114,AT1G01720,AT5G17350
612,AT1G01720,AT1G73760
9720,AT1G01720,AT1G18620
10836,AT1G01720,AT5G35732
6228,AT1G01720,AT2G01180
13428,AT1G01720,AT4G13395
1746,AT1G01720,AT5G22860
13410,AT1G01720,AT1G49220
8172,AT1G01720,AT2G43120
4788,AT1G01720,AT5G02190
3564,AT1G01720,AT5G24590
10026,AT1G01720,AT4G33420
666,AT1G01720,AT2G37760
13392,AT1G01720,AT4G33960
1494,AT1G01720,AT3G23030
702,AT1G01720,AT2G31370
10746,AT1G01720,AT4G30610
10152,AT1G01720,AT1G72210
4608,AT1G01720,AT1G14700
360,AT1G01720,AT5G04490
12708,AT1G01720,AT5G39240
2088,AT1G01720,AT3G47800
7218,AT1G01720,AT4G08870
11448,AT1G01720,AT3G54000
1260,AT1G01720,AT3G27690
6570,AT1G01720,AT2G32530
1134,AT1G01720,AT1G75800
7956,AT1G01720,AT5G24420
10332,AT1G01720,AT1G70090
180,AT1G01720,AT4G30110
5310,AT1G01720,AT4G22770
9018,AT1G01720,AT2G30040
1278,AT1G01720,AT1G05805
252,AT1G01720,AT4G27430
7236,AT1G01720,AT4G18010
9324,AT1G01720,AT3G60390
12906,AT1G01720,AT1G68050
6516,AT1G01720,AT1G45191
2268,AT1G01720,AT5G59450
108,AT1G01720,AT5G41410
7920,AT1G01720,AT1G56670
9108,AT1G01720,AT1G56720
12798,AT1G01720,AT1G17420
10368,AT1G01720,AT2G29670
6498,AT1G01720,AT4G12420
13950,AT1G01720,AT5G50450
5256,AT1G01720,AT4G19420
7164,AT1G01720,AT1G03730
10350,AT1G01720,AT3G16180
12690,AT1G01720,AT1G22360
2142,AT1G01720,AT1G21000
12762,AT1G01720,AT3G28340
11394,AT1G01720,AT4G11460
2214,AT1G01720,AT3G54600
4104,AT1G01720,AT5G57887
9054,AT1G01720,AT4G39070
6444,AT1G01720,AT3G46640
7812,AT1G01720,AT3G16510
11430,AT1G01720,AT1G23480
5940,AT1G01720,AT2G36090
11628,AT1G01720,AT1G64200
4050,AT1G01720,AT5G20480
10278,AT1G01720,AT3G29035
6012,AT1G01720,AT1G26920
8388,AT1G01720,AT4G11360
13698,AT1G01720,AT3G50260
11700,AT1G01720,AT5G38700
11106,AT1G01720,AT4G34950
10476,AT1G01720,AT2G45080
6030,AT1G01720,AT5G47060
9378,AT1G01720,AT5G38710
7722,AT1G01720,AT3G14840
1998,AT1G01720,AT2G39220
8928,AT1G01720,AT3G28310
3978,AT1G01720,AT2G39705
1098,AT1G01720,AT5G14940
8370,AT1G01720,AT3G61190
4734,AT1G01720,AT1G71970
3906,AT1G01720,AT4G04750
5148,AT1G01720,AT1G28070
5904,AT1G01720,AT1G49500
7740,AT1G01720,AT3G28200
7290,AT1G01720,AT5G11070
6318,AT1G01720,AT1G65480
5346,AT1G01720,AT4G21215
8353,AT1G18330,AT3G07650
12403,AT1G18330,AT5G10750
2809,AT1G18330,AT1G49840
1315,AT1G18330,AT2G35650
12637,AT1G18330,AT4G33980
4807,AT1G18330,AT2G28550
7417,AT1G18330,AT4G18970
12421,AT1G18330,AT4G19120
12745,AT1G18330,AT4G13410
1243,AT1G18330,AT2G02070
12385,AT1G18330,AT1G10657
1351,AT1G18330,AT4G36500
4861,AT1G18330,AT5G46330
12601,AT1G18330,AT5G18030
10603,AT1G18330,AT4G22570
1207,AT1G18330,AT3G12980
7435,AT1G18330,AT5G59780
10369,AT1G18330,AT2G29670
12349,AT1G18330,AT5G67190
12763,AT1G18330,AT3G28340
8299,AT1G18330,AT4G37530
5887,AT1G18330,AT1G01060
5707,AT1G18330,AT1G26945
2791,AT1G18330,AT1G31550
2917,AT1G18330,AT1G60800
10585,AT1G18330,AT5G62910
4915,AT1G18330,AT3G51660
5941,AT1G18330,AT2G36090
7291,AT1G18330,AT5G11070
7183,AT1G18330,AT3G03470
10513,AT1G18330,AT4G30270
7309,AT1G18330,AT1G07620
1297,AT1G18330,AT2G37470
4879,AT1G18330,AT2G27260
10405,AT1G18330,AT2G23340
5923,AT1G18330,AT3G30775
1441,AT1G18330,AT1G44000
10531,AT1G18330,AT1G69890
12493,AT1G18330,AT3G15530
1333,AT1G18330,AT4G18020
12655,AT1G18330,AT4G29440
5815,AT1G18330,AT2G35700
2971,AT1G18330,AT1G11210
7345,AT1G18330,AT2G40750
12511,AT1G18330,AT4G16880
7327,AT1G18330,AT1G01300
7237,AT1G18330,AT4G18010
1405,AT1G18330,AT4G09900
1279,AT1G18330,AT1G05805
1495,AT1G18330,AT3G23030
7363,AT1G18330,AT2G26710
12457,AT1G18330,AT5G52882
10567,AT1G18330,AT5G40450
2827,AT1G18330,AT1G08650
7381,AT1G18330,AT1G70700
4897,AT1G18330,AT1G66940
10387,AT1G18330,AT3G07460
12709,AT1G18330,AT5G39240
12439,AT1G18330,AT5G25210
2863,AT1G18330,AT5G24430
10495,AT1G18330,AT2G37580
1369,AT1G18330,AT2G15560
5851,AT1G18330,AT3G45260
12529,AT1G18330,AT2G16365
2845,AT1G18330,AT3G49160
2989,AT1G18330,AT5G07790
5779,AT1G18330,AT2G34090
7255,AT1G18330,AT2G39920
1477,AT1G18330,AT3G26180
4177,AT1G18330,AT4G39390
12133,AT1G18330,AT3G04010
10639,AT1G18330,AT1G13260
2323,AT1G18330,AT2G21380
2359,AT1G18330,AT2G43440
1999,AT1G18330,AT2G39220
11647,AT1G18330,AT2G24240
5131,AT1G18330,AT2G27770
11143,AT1G18330,AT5G22930
11683,AT1G18330,AT2G26440
11107,AT1G18330,AT4G34950
7723,AT1G18330,AT3G14840
2377,AT1G18330,AT1G17455
1981,AT1G18330,AT4G29720
11089,AT1G18330,AT3G50310
11755,AT1G18330,AT3G28270
