,diff_name,auroc_mean_UR,auroc_std_UR,auroc_mean_DR,auroc_std_DR
0,PRJEB10930_3_T-PRJEB10930_3_C.csv,0.8519856835637002,0.015208851150883116,0.8070756128662925,0.015444723043656143
1,GSE81202_14-GSE81202_12.csv,0.8565561810943816,0.011399787928374254,0.8567283880680323,0.006942266994645539
2,GSE81202_18-GSE81202_16.csv,0.8419378860136927,0.005814497638975052,0.8241440428159755,0.007860411058768576
3,GSE63406_6-GSE63406_4.csv,0.8276986314594129,0.006552607215212777,0.860982072369312,0.013506170918914272
4,GSE67332_5-GSE67332_4.csv,0.8015285398293577,0.005377732790562683,0.8314943113102398,0.0046376885267623595
5,PRJNA324514_11-PRJNA314076_1.csv,0.8334212858939608,0.007099544872498362,0.8127863141216377,0.004372335538259346
6,GSE69510_4-GSE69510_3.csv,0.880442367294729,0.010548289133917074,0.8283203214257785,0.018051326820406905
7,GSE63406_3-GSE63406_1.csv,0.8741884978936973,0.006203709586895314,0.8409874891474333,0.014557791813233694
8,PRJNA324514_6-PRJNA314076_1.csv,0.8233235914178098,0.010366472816975504,0.8320398362250941,0.005149764855965267
9,GSE80565_3-GSE80565_4.csv,0.8751080854987145,0.008877521990628336,0.8291677787475585,0.025153449556225036
10,GSE59699_11-GSE59699_12.csv,0.8731927139807839,0.00597201593839319,0.8356165857846882,0.008227318219311152
11,GSE67332_3-GSE67332_2.csv,0.8323589894254612,0.011875855494540608,0.8182517684656763,0.01036031500543229
12,GSE81202_17-GSE81202_15.csv,0.8480371768525128,0.005423103980748885,0.8469151675672574,0.007060466856358685
13,PRJNA324514_14-PRJNA324514_13.csv,0.8378408750873932,0.03355527122052229,0.8603177271532019,0.01618502936621567
14,GSE81202_10-GSE81202_8.csv,0.8477165802368075,0.01748089703231203,0.8952148082761152,0.011604661282193906
15,GSE59699_3-GSE59699_4.csv,0.9148958259546742,0.015182633309005256,0.8702256175513312,0.011861153642527166
16,GSE67332_2-GSE67332_1.csv,0.7929413383565794,0.005877520959188939,0.845748660834438,0.018901711560829083
17,GSE60865_3-GSE60865_2.csv,0.8841233578333814,0.007669993727696955,0.8609295028382048,0.013058266205095072
18,PRJEB10930_4_T-PRJEB10930_4_C.csv,0.8278814063940232,0.017407514369503954,0.8471374725318714,0.019972667816286833
19,GSE80565_5-GSE80565_6.csv,0.8521252288980647,0.01811399312672842,0.8051956783913102,0.011592577510068612
20,GSE67332_6-GSE67332_5.csv,0.8274590877051512,0.008881151635697176,0.8242169825786707,0.006025853838820424
21,PRJNA324514_15-PRJNA324514_14.csv,0.8326116057358062,0.009637771030234249,0.8684950867344305,0.02152178249430029
22,PRJNA324514_4-PRJNA324514_3.csv,0.8515036298086344,0.019033152944451636,0.8620391845463603,0.020602174833941465
23,GSE59699_15-GSE59699_16.csv,0.8725161155647079,0.011812100190046566,0.8388811153297244,0.006671317778174504
24,GSE80565_7-GSE80565_8.csv,0.8386750396555733,0.01654840254805338,0.8186534447774602,0.015119178126010444
25,GSE59699_7-GSE59699_8.csv,0.8709323886761627,0.016213516736855334,0.8580876791059833,0.007750692625397897
26,GSE69510_2-GSE69510_1.csv,0.8933235832566983,0.008497647471334495,0.8368282353476786,0.015166664033615112
27,GSE80565_13-GSE80565_14.csv,0.800557457619159,0.015136605774491689,0.8176708664779854,0.019154011285398266
28,GSE59699_17-GSE59699_18.csv,0.8637111005228046,0.009956933729182285,0.8504451603782457,0.0117115749691032
29,GSE80565_11-GSE80565_12.csv,0.8449269543472123,0.018705071166820474,0.8374061927809239,0.017663429864713864
30,GSE59699_14-GSE59699_13.csv,0.8283507844220279,0.013475828706960395,0.8705170126978372,0.004670662311810513
31,GSE69077_2-GSE69077_1.csv,0.8346953922098603,0.00972321290027574,0.8253105252278216,0.017431827350492462
32,GSE72806_4-GSE72806_1.csv,0.8163065543625997,0.007256795661350092,0.8423974546930528,0.004427724843101793
33,GSE63406_5-GSE63406_3.csv,0.828022493716996,0.008496041848929178,0.8612010795682321,0.009287551810452072
34,PRJNA324514_12-PRJNA324514_11.csv,0.8323966050799925,0.018289154206156802,0.8745728944306606,0.011198441941193574
35,PRJNA324514_10-PRJNA324514_9.csv,0.8682659946427258,0.017748600581522566,0.8066034943782515,0.01293886695897248
36,GSE72806_3-GSE72806_1.csv,0.8051291465005059,0.004744800702286252,0.8416288714134129,0.003940079645749994
37,GSE80565_9-GSE80565_10.csv,0.8311960077427614,0.025977913099481196,0.7983555018011836,0.028655999662032756
38,PRJNA324514_2-PRJNA324514_1.csv,0.8786060029260734,0.010536739362736141,0.8693577016149711,0.02355268487820233
39,GSE60865_2-GSE60865_1.csv,0.9040715361803405,0.009050358653364041,0.8484266889972434,0.022295157700388316
40,PRJNA324514_1-PRJNA314076_1.csv,0.8121422158311228,0.00890569519359121,0.826348595106294,0.006303185382667543
41,GSE81202_13-GSE81202_11.csv,0.8397090868437364,0.01693990090032474,0.8810116778663929,0.015096937529294745
42,PRJNA324514_3-PRJNA324514_2.csv,0.8776788056096784,0.010611561065185623,0.8716514028519604,0.014159445281856234
43,GSE69077_3-GSE69077_2.csv,0.8124511032573851,0.008368834627947234,0.8491634343469678,0.00861157559159746
