,TFID,targetID
0,AT1G18330,AT2G33830
3066,AT1G18330,AT5G52882
12705,AT1G18330,AT1G20620
3045,AT1G18330,AT5G04530
10122,AT1G18330,AT1G26580
10143,AT1G18330,AT1G60940
2982,AT1G18330,AT1G66940
2940,AT1G18330,AT4G33150
2898,AT1G18330,AT5G48010
10206,AT1G18330,AT4G08920
2877,AT1G18330,AT5G65207
2835,AT1G18330,AT1G66180
10311,AT1G18330,AT5G11670
2772,AT1G18330,AT2G22990
2730,AT1G18330,AT1G65390
10353,AT1G18330,AT3G14840
2688,AT1G18330,AT5G61590
10374,AT1G18330,AT5G10860
10395,AT1G18330,AT4G10080
2646,AT1G18330,AT1G78850
2625,AT1G18330,AT2G06850
2583,AT1G18330,AT1G68530
13125,AT1G18330,AT3G22380
10479,AT1G18330,AT3G16370
10500,AT1G18330,AT3G12610
2457,AT1G18330,AT3G48990
10563,AT1G18330,AT5G63800
2436,AT1G18330,AT1G57990
13104,AT1G18330,AT3G16420
10101,AT1G18330,AT2G44920
3150,AT1G18330,AT1G13210
10080,AT1G18330,AT1G19740
3948,AT1G18330,AT1G37130
9555,AT1G18330,AT3G54140
9597,AT1G18330,AT1G75540
3864,AT1G18330,AT1G76160
3822,AT1G18330,AT2G43330
9618,AT1G18330,AT4G21450
9660,AT1G18330,AT1G04400
3801,AT1G18330,AT5G19140
9681,AT1G18330,AT1G33600
3759,AT1G18330,AT5G02160
9702,AT1G18330,AT4G04970
9744,AT1G18330,AT1G67560
3654,AT1G18330,AT1G52200
10647,AT1G18330,AT1G75460
9765,AT1G18330,AT1G23090
3612,AT1G18330,AT2G30930
9786,AT1G18330,AT4G39090
3591,AT1G18330,AT4G22690
9807,AT1G18330,AT2G14910
3549,AT1G18330,AT3G19030
3528,AT1G18330,AT5G48380
9891,AT1G18330,AT5G23210
3444,AT1G18330,AT5G25350
3423,AT1G18330,AT5G04490
9933,AT1G18330,AT3G47800
9975,AT1G18330,AT3G13750
3276,AT1G18330,AT1G66760
3255,AT1G18330,AT1G47960
3633,AT1G18330,AT1G11530
9534,AT1G18330,AT3G04760
10668,AT1G18330,AT5G64330
10710,AT1G18330,AT5G44790
1554,AT1G18330,AT2G25900
11319,AT1G18330,AT1G18730
11340,AT1G18330,AT1G20693
1512,AT1G18330,AT1G78460
11403,AT1G18330,AT1G06390
1449,AT1G18330,AT1G78170
11424,AT1G18330,AT5G09620
11445,AT1G18330,AT3G16460
1365,AT1G18330,AT1G68520
