,TFID,targetID
58512,AT1G19000,AT4G11330
110208,AT1G19000,AT2G32800
3168,AT1G19000,AT5G65660
123648,AT1G19000,AT5G04760
149424,AT1G19000,AT1G80460
96144,AT1G19000,AT1G64380
65808,AT1G19000,AT5G52860
123024,AT1G19000,AT3G10340
136656,AT1G19000,AT1G01490
18240,AT1G19000,AT1G23090
122832,AT1G19000,AT5G56750
73296,AT1G19000,AT5G54590
137760,AT1G19000,AT5G07440
148752,AT1G19000,AT4G35470
137952,AT1G19000,AT5G57180
49392,AT1G19000,AT2G45810
95616,AT1G19000,AT3G50530
148944,AT1G19000,AT4G13575
28704,AT1G19000,AT5G18860
136416,AT1G19000,AT1G21830
28656,AT1G19000,AT3G57550
64800,AT1G19000,AT4G00150
81888,AT1G19000,AT1G47290
59424,AT1G19000,AT4G31820
97392,AT1G19000,AT3G13730
82512,AT1G19000,AT5G47910
19824,AT1G19000,AT3G17340
3648,AT1G19000,AT2G39220
97344,AT1G19000,AT2G36080
74592,AT1G19000,AT5G25830
59088,AT1G19000,AT4G24780
109728,AT1G19000,AT2G26260
82704,AT1G19000,AT4G28860
82752,AT1G19000,AT3G45140
97248,AT1G19000,AT1G12110
97104,AT1G19000,AT2G32530
149712,AT1G19000,AT3G16857
158640,AT1G19000,AT1G80420
66000,AT1G19000,AT5G42470
150960,AT1G19000,AT3G61260
10512,AT1G19000,AT2G23810
17424,AT1G19000,AT1G71870
121056,AT1G19000,AT3G26490
113424,AT1G19000,AT3G19930
86496,AT1G19000,AT2G35800
93552,AT1G19000,AT3G07340
86832,AT1G19000,AT5G19010
147504,AT1G19000,AT4G28750
93312,AT1G19000,AT2G07170
31008,AT1G19000,AT4G28250
11472,AT1G19000,AT5G28050
35952,AT1G19000,AT1G32360
56304,AT1G19000,AT5G03180
11760,AT1G19000,AT2G01680
161280,AT1G19000,AT4G18975
146976,AT1G19000,AT1G15020
114384,AT1G19000,AT1G47128
146880,AT1G19000,AT5G36250
113856,AT1G19000,AT2G44500
72288,AT1G19000,AT5G20950
160704,AT1G19000,AT4G16130
139680,AT1G19000,AT4G30410
49824,AT1G19000,AT5G66770
17376,AT1G19000,AT3G10700
122304,AT1G19000,AT5G53580
17280,AT1G19000,AT1G76790
148128,AT1G19000,AT1G70430
16992,AT1G19000,AT1G05190
85824,AT1G19000,AT1G60010
1968,AT1G19000,AT5G55100
112608,AT1G19000,AT1G04440
121776,AT1G19000,AT5G62570
112656,AT1G19000,AT3G23730
139392,AT1G19000,AT4G11300
121584,AT1G19000,AT3G48390
66528,AT1G19000,AT1G68020
66576,AT1G19000,AT3G04810
112752,AT1G19000,AT1G10470
85920,AT1G19000,AT2G27920
138384,AT1G19000,AT3G47430
15744,AT1G19000,AT2G01670
157680,AT1G19000,AT3G59300
81600,AT1G19000,AT4G24060
102480,AT1G19000,AT1G14340
77472,AT1G19000,AT3G17650
105072,AT1G19000,AT4G30610
129360,AT1G19000,AT1G14440
25632,AT1G19000,AT5G41810
78816,AT1G19000,AT2G40900
129312,AT1G19000,AT5G55230
42144,AT1G19000,AT4G18160
131616,AT1G19000,AT5G44530
41904,AT1G19000,AT4G11650
105312,AT1G19000,AT2G35680
25824,AT1G19000,AT4G09560
131760,AT1G19000,AT4G35560
105456,AT1G19000,AT5G06670
153216,AT1G19000,AT3G28040
101952,AT1G19000,AT2G16750
61728,AT1G19000,AT3G21465
24048,AT1G19000,AT2G28350
6624,AT1G19000,AT1G66200
131472,AT1G19000,AT2G01850
130512,AT1G19000,AT4G37890
78048,AT1G19000,AT1G78970
77904,AT1G19000,AT5G45660
130560,AT1G19000,AT4G18140
25056,AT1G19000,AT1G78240
43440,AT1G19000,AT2G31370
130944,AT1G19000,AT1G23860
42720,AT1G19000,AT4G00950
104352,AT1G19000,AT1G14330
154944,AT1G19000,AT1G22570
102672,AT1G19000,AT2G28080
43632,AT1G19000,AT1G13250
104640,AT1G19000,AT5G43890
129648,AT1G19000,AT3G23590
42384,AT1G19000,AT1G21670
62880,AT1G19000,AT1G31350
104832,AT1G19000,AT3G23890
131856,AT1G19000,AT4G29780
126288,AT1G19000,AT1G26930
79200,AT1G19000,AT1G14380
128976,AT1G19000,AT4G01460
100128,AT1G19000,AT1G61590
127488,AT1G19000,AT3G15530
45888,AT1G19000,AT3G62080
75840,AT1G19000,AT3G28910
27072,AT1G19000,AT3G29320
64512,AT1G19000,AT4G37250
40464,AT1G19000,AT4G02540
26928,AT1G19000,AT2G27060
80880,AT1G19000,AT1G68130
127056,AT1G19000,AT5G20960
133824,AT1G19000,AT5G04950
46512,AT1G19000,AT1G68100
