,TFID,targetID
0,AT1G06180,AT3G48560
13112,AT1G06180,AT3G03920
25916,AT1G06180,AT5G49680
2904,AT1G06180,AT1G22410
2552,AT1G06180,AT3G19450
13948,AT1G06180,AT2G37040
17248,AT1G06180,AT2G21650
21604,AT1G06180,AT1G33600
1804,AT1G06180,AT1G35580
1584,AT1G06180,AT3G61440
20988,AT1G06180,AT4G12290
1540,AT1G06180,AT1G65930
1320,AT1G06180,AT5G17920
24684,AT1G06180,AT3G11280
15664,AT1G06180,AT5G54810
748,AT1G06180,AT5G48930
30580,AT1G06180,AT3G04720
21164,AT1G06180,AT1G19050
12892,AT1G06180,AT3G30180
20416,AT1G06180,AT3G23010
28732,AT1G06180,AT1G05135
18964,AT1G06180,AT2G38860
8976,AT1G06180,AT5G27380
9284,AT1G06180,AT1G55850
9768,AT1G06180,AT1G21270
5852,AT1G06180,AT2G04400
5324,AT1G06180,AT1G09430
30052,AT1G06180,AT5G26340
17952,AT1G06180,AT2G24600
11484,AT1G06180,AT1G74100
26928,AT1G06180,AT5G13200
11660,AT1G06180,AT5G40760
4180,AT1G06180,AT3G53260
12320,AT1G06180,AT4G04610
12364,AT1G06180,AT4G37610
12496,AT1G06180,AT1G09560
264,AT1G06180,AT2G43750
7832,AT1G06180,AT2G37940
132,AT1G06180,AT3G53460
10869,AT1G06850,AT1G22930
22353,AT1G06850,AT5G01040
28161,AT1G06850,AT1G18400
19713,AT1G06850,AT1G22690
16193,AT1G06850,AT2G41880
5589,AT1G06850,AT1G07280
29789,AT1G06850,AT5G62280
18305,AT1G06850,AT1G25275
1849,AT1G06850,AT4G03080
12981,AT1G06850,AT4G23200
16589,AT1G06850,AT4G12320
29877,AT1G06850,AT1G62380
2377,AT1G06850,AT5G60390
27193,AT1G06850,AT2G39210
13157,AT1G06850,AT5G41790
9153,AT1G06850,AT1G69040
14477,AT1G06850,AT4G39260
26181,AT1G06850,AT5G44380
26489,AT1G06850,AT1G80840
17645,AT1G06850,AT4G30270
9681,AT1G06850,AT5G03730
12541,AT1G06850,AT5G02760
6513,AT1G06850,AT2G42490
27941,AT1G06850,AT5G03720
6733,AT1G06850,AT1G78850
19493,AT1G06850,AT4G12310
30933,AT1G06850,AT2G26560
28073,AT1G06850,AT5G55930
31109,AT1G06850,AT5G60780
15313,AT1G06850,AT3G50480
9241,AT1G06850,AT2G33370
3785,AT1G06850,AT3G57610
5897,AT1G06850,AT2G17510
1233,AT1G06850,AT1G11260
6865,AT1G06850,AT3G14840
22397,AT1G06850,AT1G75750
4357,AT1G06850,AT1G28580
25081,AT1G06850,AT5G61010
19009,AT1G06850,AT1G51850
25345,AT1G06850,AT1G65845
19053,AT1G06850,AT1G22570
11793,AT1G06850,AT5G45510
441,AT1G06850,AT5G02500
28909,AT1G06850,AT4G14746
27017,AT1G06850,AT5G48850
14829,AT1G06850,AT5G45500
13905,AT1G06850,AT1G25560
26973,AT1G06850,AT1G21130
2773,AT1G06850,AT3G14310
2729,AT1G06850,AT5G62190
14873,AT1G06850,AT2G32200
13553,AT1G06850,AT1G76990
31285,AT1G06850,AT3G62150
30229,AT1G06850,AT4G12470
17469,AT1G06850,AT4G32280
22398,AT1G27730,AT1G75750
17734,AT1G27730,AT5G44070
24906,AT1G27730,AT1G33560
31506,AT1G27730,AT3G21530
10078,AT1G27730,AT5G64570
20198,AT1G27730,AT2G23680
4842,AT1G27730,AT4G13250
17646,AT1G27730,AT4G30270
31154,AT1G27730,AT1G35350
21914,AT1G27730,AT2G43200
1586,AT1G27730,AT3G61440
27766,AT1G27730,AT4G36500
11310,AT1G27730,AT4G04570
12366,AT1G27730,AT4G37610
9990,AT1G27730,AT1G25260
29570,AT1G27730,AT1G21460
26886,AT1G27730,AT4G23140
15358,AT1G27730,AT5G39050
