,TFID,targetID
23569,AT1G01060,AT3G55620
73297,AT1G01060,AT3G60980
19277,AT1G01060,AT5G39210
107818,AT1G01060,AT5G49810
73149,AT1G01060,AT3G57520
73075,AT1G01060,AT1G31850
73001,AT1G01060,AT2G43850
46472,AT1G01060,AT4G18390
72964,AT1G01060,AT5G40370
126799,AT1G01060,AT3G43810
46509,AT1G01060,AT5G19010
45991,AT1G01060,AT4G31820
126725,AT1G01060,AT5G67480
46916,AT1G01060,AT2G05100
47249,AT1G01060,AT2G46550
126688,AT1G01060,AT5G25350
19129,AT1G01060,AT1G67740
72742,AT1G01060,AT2G21580
72705,AT1G01060,AT2G21500
14097,AT1G01060,AT5G63780
108817,AT1G01060,AT1G45180
72446,AT1G01060,AT5G07630
126392,AT1G01060,AT4G36410
46657,AT1G01060,AT1G72010
19055,AT1G01060,AT1G69390
127206,AT1G01060,AT5G20830
45880,AT1G01060,AT2G25605
73778,AT1G01060,AT1G21500
7141,AT1G01060,AT5G27280
127835,AT1G01060,AT1G61250
73741,AT1G01060,AT3G26600
44511,AT1G01060,AT3G28715
73704,AT1G01060,AT5G38630
127761,AT1G01060,AT5G40720
106967,AT1G01060,AT1G70770
127724,AT1G01060,AT5G54670
44881,AT1G01060,AT5G43600
107559,AT1G01060,AT5G43830
73630,AT1G01060,AT1G76140
107004,AT1G01060,AT3G46290
13764,AT1G01060,AT5G52010
73593,AT1G01060,AT4G38620
73519,AT1G01060,AT5G57110
19425,AT1G01060,AT3G18440
107263,AT1G01060,AT4G38690
127391,AT1G01060,AT4G27900
107300,AT1G01060,AT2G02070
73482,AT1G01060,AT5G35620
107411,AT1G01060,AT4G00355
44992,AT1G01060,AT1G69850
73889,AT1G01060,AT5G28220
72372,AT1G01060,AT1G75140
3552,AT1G01060,AT3G56050
125467,AT1G01060,AT1G52780
71225,AT1G01060,AT4G38860
109927,AT1G01060,AT4G13370
125282,AT1G01060,AT4G09570
110001,AT1G01060,AT1G12800
14504,AT1G01060,AT1G19400
110075,AT1G01060,AT1G45474
18574,AT1G01060,AT1G52190
70707,AT1G01060,AT3G27310
49617,AT1G01060,AT1G05010
109853,AT1G01060,AT5G04020
110149,AT1G01060,AT5G44390
70633,AT1G01060,AT2G24170
110186,AT1G01060,AT5G58900
124949,AT1G01060,AT3G53990
70559,AT1G01060,AT3G55450
110260,AT1G01060,AT2G44740
50024,AT1G01060,AT5G58420
110297,AT1G01060,AT2G25080
70485,AT1G01060,AT2G02100
70448,AT1G01060,AT1G10470
124875,AT1G01060,AT5G51820
49839,AT1G01060,AT5G62530
19018,AT1G01060,AT4G27820
49247,AT1G01060,AT5G61970
49136,AT1G01060,AT3G11940
72261,AT1G01060,AT4G27870
126281,AT1G01060,AT1G54630
109224,AT1G01060,AT5G15410
126244,AT1G01060,AT3G47590
109298,AT1G01060,AT1G75900
72150,AT1G01060,AT3G58010
126059,AT1G01060,AT1G77120
48137,AT1G01060,AT2G43430
48248,AT1G01060,AT4G14200
71817,AT1G01060,AT2G21410
125541,AT1G01060,AT2G22425
48285,AT1G01060,AT4G30160
48655,AT1G01060,AT1G32230
125763,AT1G01060,AT4G19120
48803,AT1G01060,AT2G34640
109557,AT1G01060,AT4G11600
48951,AT1G01060,AT1G78100
71521,AT1G01060,AT2G36390
14356,AT1G01060,AT1G70820
109816,AT1G01060,AT4G14370
49062,AT1G01060,AT3G52120
71410,AT1G01060,AT5G41460
109520,AT1G01060,AT3G04640
106597,AT1G01060,AT5G01100
106523,AT1G01060,AT4G21960
43845,AT1G01060,AT5G26751
76664,AT1G01060,AT3G28710
40700,AT1G01060,AT2G24420
2479,AT1G01060,AT4G38600
104599,AT1G01060,AT3G06145
40737,AT1G01060,AT3G47500
104636,AT1G01060,AT4G04840
20128,AT1G01060,AT5G42870
76479,AT1G01060,AT1G12440
40922,AT1G01060,AT1G23260
76294,AT1G01060,AT1G47290
104377,AT1G01060,AT1G64280
104821,AT1G01060,AT1G04240
41329,AT1G01060,AT3G50500
41366,AT1G01060,AT5G62720
130203,AT1G01060,AT2G34430
116994,AT1G01060,AT3G12620
41477,AT1G01060,AT5G65670
41588,AT1G01060,AT1G75020
75998,AT1G01060,AT3G22230
19980,AT1G01060,AT5G24890
130018,AT1G01060,AT3G11850
75961,AT1G01060,AT4G14240
41107,AT1G01060,AT5G56870
13283,AT1G01060,AT4G29190
131239,AT1G01060,AT3G05910
76775,AT1G01060,AT4G37550
103674,AT1G01060,AT3G46630
132164,AT1G01060,AT4G29670
77959,AT1G01060,AT1G47830
39775,AT1G01060,AT1G01550
77885,AT1G01060,AT3G21550
131905,AT1G01060,AT1G36940
39886,AT1G01060,AT3G60390
20313,AT1G01060,AT5G25360
39997,AT1G01060,AT1G26130
40071,AT1G01060,AT1G64710
76738,AT1G01060,AT5G14780
7881,AT1G01060,AT1G01490
20276,AT1G01060,AT1G49480
77663,AT1G01060,AT1G65690
40293,AT1G01060,AT4G32180
103933,AT1G01060,AT5G59000
104044,AT1G01060,AT3G46010
104118,AT1G01060,AT5G22390
13135,AT1G01060,AT1G67140
104155,AT1G01060,AT5G23980
40552,AT1G01060,AT3G07360
104340,AT1G01060,AT4G26130
103859,AT1G01060,AT1G66410
129870,AT1G01060,AT2G26910
105376,AT1G01060,AT5G34940
41958,AT1G01060,AT1G67660
42957,AT1G01060,AT5G12950
128760,AT1G01060,AT3G02250
128723,AT1G01060,AT5G46260
105968,AT1G01060,AT1G55500
128686,AT1G01060,AT3G49680
106042,AT1G01060,AT5G58650
74666,AT1G01060,AT1G73030
7289,AT1G01060,AT3G18680
43364,AT1G01060,AT4G40040
128464,AT1G01060,AT3G53900
19684,AT1G01060,AT5G06560
43512,AT1G01060,AT5G44800
43549,AT1G01060,AT3G57610
128279,AT1G01060,AT3G04480
43586,AT1G01060,AT5G41810
3034,AT1G01060,AT1G15750
7252,AT1G01060,AT1G08490
43734,AT1G01060,AT2G29970
74148,AT1G01060,AT2G23810
74111,AT1G01060,AT5G22580
128205,AT1G01060,AT4G05090
74037,AT1G01060,AT1G07420
128427,AT1G01060,AT4G32040
2849,AT1G01060,AT2G16500
