,TFID,targetID
0,AT1G01060,AT4G33980
840,AT1G01060,AT4G27440
4970,AT1G01060,AT3G20810
2680,AT1G01060,AT5G11150
2690,AT1G01060,AT3G50500
2720,AT1G01060,AT3G53460
4950,AT1G01060,AT1G05805
2730,AT1G01060,AT2G05440
770,AT1G01060,AT1G70820
760,AT1G01060,AT1G67970
2750,AT1G01060,AT5G03470
750,AT1G01060,AT5G54190
2770,AT1G01060,AT5G16380
2780,AT1G01060,AT4G02370
4910,AT1G01060,AT5G08000
730,AT1G01060,AT3G22830
2830,AT1G01060,AT5G10430
6200,AT1G01060,AT1G50010
2840,AT1G01060,AT2G36390
710,AT1G01060,AT3G62550
2660,AT1G01060,AT1G18330
2870,AT1G01060,AT1G17455
6040,AT1G01060,AT5G02240
860,AT1G01060,AT4G39090
960,AT1G01060,AT1G49720
5140,AT1G01060,AT2G44080
2440,AT1G01060,AT4G28703
950,AT1G01060,AT5G50450
2450,AT1G01060,AT1G13270
5970,AT1G01060,AT1G11530
920,AT1G01060,AT2G15090
2500,AT1G01060,AT4G12750
2510,AT1G01060,AT5G51790
2520,AT1G01060,AT2G28840
910,AT1G01060,AT2G31360
5990,AT1G01060,AT2G31040
2550,AT1G01060,AT2G46550
900,AT1G01060,AT4G30650
5080,AT1G01060,AT4G12290
2580,AT1G01060,AT4G05150
2590,AT1G01060,AT1G77000
2610,AT1G01060,AT1G02300
2640,AT1G01060,AT2G14170
4980,AT1G01060,AT1G22070
2430,AT1G01060,AT3G50700
6210,AT1G01060,AT4G14960
4880,AT1G01060,AT5G27320
3040,AT1G01060,AT3G56720
580,AT1G01060,AT1G80920
4740,AT1G01060,AT2G02710
570,AT1G01060,AT2G22450
3100,AT1G01060,AT2G28720
4700,AT1G01060,AT1G66410
3120,AT1G01060,AT5G25280
6340,AT1G01060,AT5G19140
4680,AT1G01060,AT5G12950
3130,AT1G01060,AT1G21680
530,AT1G01060,AT2G01200
4640,AT1G01060,AT1G14520
3140,AT1G01060,AT3G56400
4610,AT1G01060,AT5G55230
510,AT1G01060,AT5G63810
3170,AT1G01060,AT2G04240
500,AT1G01060,AT2G19450
490,AT1G01060,AT2G14610
3200,AT1G01060,AT1G74940
4760,AT1G01060,AT1G54410
2880,AT1G01060,AT5G56550
6330,AT1G01060,AT3G05220
610,AT1G01060,AT5G07010
2890,AT1G01060,AT3G04070
690,AT1G01060,AT5G61380
6220,AT1G01060,AT1G20020
680,AT1G01060,AT2G20670
6250,AT1G01060,AT1G68820
4830,AT1G01060,AT5G40720
2930,AT1G01060,AT2G25730
2940,AT1G01060,AT1G22370
640,AT1G01060,AT3G15440
6280,AT1G01060,AT1G11360
2960,AT1G01060,AT3G53990
630,AT1G01060,AT2G02100
4810,AT1G01060,AT3G62660
4800,AT1G01060,AT1G08660
2990,AT1G01060,AT1G20620
3000,AT1G01060,AT5G61440
620,AT1G01060,AT3G29320
6320,AT1G01060,AT5G47020
4790,AT1G01060,AT1G22500
600,AT1G01060,AT2G40340
480,AT1G01060,AT2G21130
2420,AT1G01060,AT5G65390
5160,AT1G01060,AT5G51390
5710,AT1G01060,AT1G62480
1770,AT1G01060,AT1G77210
1390,AT1G01060,AT1G54217
