,TFID,targetID
8250,AT1G01720,AT1G33060
3850,AT1G01720,AT3G50740
7447,AT1G01720,AT4G13180
2002,AT1G01720,AT1G69010
7436,AT1G01720,AT1G74670
6171,AT1G01720,AT1G13245
4312,AT1G01720,AT1G52565
572,AT1G01720,AT5G47370
6864,AT1G01720,AT4G26850
1078,AT1G01720,AT5G18010
10582,AT1G01720,AT2G36910
7403,AT1G01720,AT1G75820
3036,AT1G01720,AT1G01720
9086,AT1G01720,AT1G60440
5588,AT1G01720,AT5G48150
1969,AT1G01720,AT5G09440
9218,AT1G01720,AT3G15770
3355,AT1G01720,AT4G31390
6919,AT1G01720,AT4G25640
7381,AT1G01720,AT5G54130
10648,AT1G01720,AT5G55730
9625,AT1G01720,AT4G35490
3916,AT1G01720,AT2G35990
11275,AT1G01720,AT4G16190
7359,AT1G01720,AT5G65860
1650,AT1G01720,AT2G12462
1925,AT1G01720,AT3G05130
11297,AT1G01720,AT4G02230
9284,AT1G01720,AT5G14570
9064,AT1G01720,AT4G37980
6204,AT1G01720,AT5G62180
4477,AT1G01720,AT1G06180
2090,AT1G01720,AT3G55130
11715,AT1G01720,AT4G25700
2882,AT1G01720,AT1G18710
4466,AT1G01720,AT1G02380
6314,AT1G01720,AT3G17510
3784,AT1G01720,AT5G25350
11671,AT1G01720,AT3G23000
7645,AT1G01720,AT3G14067
451,AT1G01720,AT1G29395
6270,AT1G01720,AT3G14450
8954,AT1G01720,AT4G31550
5489,AT1G01720,AT3G08670
11649,AT1G01720,AT5G24150
6765,AT1G01720,AT1G30820
3410,AT1G01720,AT3G48240
7579,AT1G01720,AT3G17810
8976,AT1G01720,AT2G23180
6787,AT1G01720,AT3G60390
1133,AT1G01720,AT3G55730
2937,AT1G01720,AT3G11410
5456,AT1G01720,AT1G71970
1573,AT1G01720,AT1G06070
9031,AT1G01720,AT3G52800
528,AT1G01720,AT1G73480
1584,AT1G01720,AT5G54510
6721,AT1G01720,AT3G26290
1012,AT1G01720,AT5G55250
5654,AT1G01720,AT5G49630
3641,AT1G01720,AT2G47060
7161,AT1G01720,AT4G15550
5907,AT1G01720,AT1G07150
10945,AT1G01720,AT4G30960
10901,AT1G01720,AT1G10740
847,AT1G01720,AT3G14440
946,AT1G01720,AT3G55240
4092,AT1G01720,AT2G31980
6028,AT1G01720,AT3G19970
10879,AT1G01720,AT2G48020
7117,AT1G01720,AT5G51670
3201,AT1G01720,AT4G21960
5940,AT1G01720,AT1G72770
7051,AT1G01720,AT5G43450
858,AT1G01720,AT5G12050
7062,AT1G01720,AT5G65670
4048,AT1G01720,AT5G28300
9471,AT1G01720,AT2G27580
5962,AT1G01720,AT5G18860
9482,AT1G01720,AT3G61890
1760,AT1G01720,AT2G39220
1727,AT1G01720,AT1G69260
3212,AT1G01720,AT5G57660
891,AT1G01720,AT5G02190
7073,AT1G01720,AT3G62090
4037,AT1G01720,AT3G27170
10824,AT1G01720,AT4G02890
1782,AT1G01720,AT3G51660
9438,AT1G01720,AT4G25620
10956,AT1G01720,AT5G56030
5896,AT1G01720,AT5G60850
9306,AT1G01720,AT5G08790
1903,AT1G01720,AT5G43700
11231,AT1G01720,AT5G57990
3102,AT1G01720,AT2G39350
671,AT1G01720,AT5G49330
1892,AT1G01720,AT3G55740
7326,AT1G01720,AT1G02816
6996,AT1G01720,AT1G55910
7304,AT1G01720,AT5G60790
11143,AT1G01720,AT2G18020
4180,AT1G01720,AT1G20900
6061,AT1G01720,AT1G66250
7007,AT1G01720,AT5G58650
7227,AT1G01720,AT5G24380
10703,AT1G01720,AT4G17890
11099,AT1G01720,AT5G53970
5841,AT1G01720,AT5G16200
11088,AT1G01720,AT2G39020
1848,AT1G01720,AT3G61460
9394,AT1G01720,AT2G31280
979,AT1G01720,AT5G52890
9416,AT1G01720,AT1G69295
6039,AT1G01720,AT2G18969
4136,AT1G01720,AT5G11090
3168,AT1G01720,AT1G53163
9559,AT1G01720,AT4G18670
3234,AT1G01720,AT5G50130
418,AT1G01720,AT3G54200
5302,AT1G01720,AT3G54000
11660,AT1G01720,AT1G27760
9504,AT1G01720,AT2G46520
4763,AT1G01720,AT1G51170
4840,AT1G01720,AT1G09575
12045,AT1G01720,AT1G03600
3531,AT1G01720,AT3G63450
4631,AT1G01720,AT1G72490
5148,AT1G01720,AT4G22820
5159,AT1G01720,AT1G52827
2684,AT1G01720,AT2G28140
12254,AT1G01720,AT4G31700
4741,AT1G01720,AT4G40060
2233,AT1G01720,AT3G16500
99,AT1G01720,AT3G21320
12001,AT1G01720,AT3G07110
10120,AT1G01720,AT5G02500
4994,AT1G01720,AT1G25560
9834,AT1G01720,AT4G23190
8701,AT1G01720,AT3G50240
4565,AT1G01720,AT1G62570
4719,AT1G01720,AT4G15233
2211,AT1G01720,AT5G50335
12265,AT1G01720,AT4G22240
8580,AT1G01720,AT1G32150
2255,AT1G01720,AT4G28250
10384,AT1G01720,AT3G57810
5071,AT1G01720,AT3G28220
6413,AT1G01720,AT3G16620
10186,AT1G01720,AT4G05050
9966,AT1G01720,AT1G50640
7964,AT1G01720,AT3G54960
154,AT1G01720,AT3G29575
2563,AT1G01720,AT5G59510
8448,AT1G01720,AT4G16760
12111,AT1G01720,AT1G06570
