"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G01010",200.130137523934,-0.712499244449666,0.278306064260227,-2.56012834770087,0.0104633512278719,0.0949162892843782
"AT1G01020",213.834177510326,-0.114419559854624,0.313995068396618,-0.364399225882418,0.715559913452873,0.995797856392009
"AT1G01030",56.3318364812051,-0.712068377183331,0.399187112947671,-1.78379600464877,0.0744568190414493,0.392445325028122
"AT1G01040",1895.53007363412,0.00796762353397001,0.208466845614368,0.0382200992704082,0.969512195702508,0.999918014326704
"AT1G01050",1308.31973728188,-0.0708789380260825,0.232993543961187,-0.304209879900748,0.760967998258692,0.99790980724678
"AT1G01060",1142.3194562403,0.964177539271546,0.232882786129355,4.14018380360664,3.4702765037076e-05,0.000744525790368856
"AT1G01070",127.608911240939,-0.0212200768147161,0.296112206157224,-0.0716622833286683,0.942870672500061,0.998070875166358
"AT1G01080",490.292045438197,-0.291591957214582,0.233887471128823,-1.24671901323854,0.212500544745437,0.710613388072495
"AT1G01090",4907.56211924629,-0.402846927247595,0.193339169197325,-2.08362810764146,0.0371940082486625,0.242844268346472
"AT1G01100",1206.07043804145,-0.120154544669378,0.210498838420965,-0.570808587689627,0.568129401025972,0.971081084716132
"AT1G01110",124.500684158265,-0.659650721763595,0.34236602629608,-1.92674118077687,0.0540118930094128,0.315764066217848
"AT1G01120",6981.27029397449,0.378549801604607,0.191835308314932,1.97330619128336,0.0484606879704624,0.291594811211417
"AT1G01130",26.1527950207015,-0.201186104937096,0.451825341212904,-0.445274061868733,0.656121710163262,0.988616995203635
"AT1G01140",1907.10312629802,0.270250939886819,0.262751512821704,1.02854189871098,0.303694992460516,0.825768022004787
"AT1G01150",0.240493229225666,-0.0551452103495191,0.190052074305118,-0.290158423953776,0.771695041445505,NA
"AT1G01160",921.007449998825,0.186337850284899,0.357146648008485,0.521740442823566,0.601851061883761,0.9806604386898
"AT1G01170",680.512844695059,-0.356851003187621,0.214470977854766,-1.66386616388382,0.0961391781496977,0.463528036903736
"AT1G01180",624.353403651639,-0.180536937876086,0.2356385606628,-0.766160416904072,0.443580857651234,0.927889039812343
"AT1G01190",40.4634397458388,-0.741488865621828,0.402128358359018,-1.84391090607898,0.065196125426874,0.358515458366725
"AT1G01200",73.0740971921617,-0.69821595087942,0.34318380453045,-2.03452476970681,0.0418987137985105,0.265329893003393
"AT1G01210",124.034580824185,0.046373814025243,0.29406798155973,0.157697596927341,0.87469509417427,0.99790980724678
