"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G01010",190.656377336781,-0.640163479442191,0.294581680573858,-2.17312725691266,0.0297707407686249,0.190559441135136
"AT1G01020",302.482933624331,0.126679681813541,0.232069988146087,0.545868437472392,0.585156375594361,0.933247307982354
"AT1G01030",82.5015293605152,-0.50776393433705,0.322777096120207,-1.57311017553721,0.115693309186041,0.473177413476986
"AT1G01040",1627.6764906305,0.21240482741157,0.241298493058101,0.880257579397425,0.378719787411018,0.824794820822293
"AT1G01050",1765.95705054147,-0.0965807547134737,0.188139486017987,-0.513346542810477,0.607708932243021,0.94246385254638
"AT1G01060",4003.6585688184,0.693249643936414,0.215558239642027,3.21606654928931,0.00129960691117635,0.0154502407413641
"AT1G01070",125.077906405426,-0.198051834125091,0.287565082016967,-0.68872003769013,0.490999464016199,0.895467591486443
"AT1G01080",1237.2331227256,-0.352902269715168,0.195459298340254,-1.80550259164872,0.0709960703318213,0.345676974811652
"AT1G01090",6008.07280364304,-0.214869264561468,0.177966561223025,-1.20735751191032,0.227294490830953,0.672089814001039
"AT1G01100",2043.49245295683,-0.266448701250985,0.263408093745173,-1.01154333362571,0.311756451795454,0.770185672367927
"AT1G01110",166.086529905881,-0.267329848435515,0.274375048573171,-0.974322737529186,0.329896318426095,0.785674901921243
"AT1G01120",8994.85367369553,0.473427533725905,0.192937439706818,2.45378778968618,0.0141360375256814,0.109542779392821
"AT1G01130",39.1145102155774,0.250570252577127,0.402887538306678,0.621935971587169,0.533983970779126,0.915620809848032
"AT1G01140",3149.61257998484,0.268697101177399,0.203752519248047,1.31874247331533,0.187255222104861,0.618507603001663
"AT1G01150",1.51598451900774,-0.0843730022892789,0.296559125773994,-0.284506511371291,0.77602224477411,NA
"AT1G01160",583.591763239856,0.191306646852114,0.216447986819219,0.883845812859869,0.376779451825008,0.824460652034124
"AT1G01170",789.730281662949,0.0562989915055831,0.197216277375239,0.285468280077431,0.775285402620067,0.975437716945941
"AT1G01180",525.448277509371,-0.0816206958288729,0.211862502082342,-0.38525314780409,0.700049870134167,0.964068351684166
"AT1G01190",20.4411524656344,-0.779784918402445,0.447613163012806,-1.74209559243935,0.0814917187173724,0.379061287544544
"AT1G01200",171.051348573976,0.0612349584772935,0.312540151676745,0.195926693414508,0.844667543843188,0.988153031429707
"AT1G01210",124.086218926754,-0.0218018922330815,0.333812780743469,-0.0653117360711122,0.947925798262982,0.996341419729302
"AT1G01220",561.97467126375,-0.129643729176423,0.218463237511225,-0.593434990039282,0.552890078038057,0.921311344141399
"AT1G01225",80.4628080748472,0.182422429207419,0.351492559227503,0.518993715281881,0.603765123888514,0.940434676820672
"AT1G01230",1055.30219760913,0.217224971118138,0.231000794453196,0.940364606244463,0.34703057065581,0.800469877145355
"AT1G01240",1303.81032432793,1.12232107652575,0.20166748669394,5.56520584911654,2.61843125624496e-08,7.98621533154712e-07
"AT1G01250",25.7783082066695,1.57965542950025,0.44151512241549,3.57780594435384,0.00034649053853121,0.00490980074155642
"AT1G01260",677.06951435783,0.114154035002099,0.202962314524734,0.562439560612064,0.573816571726403,0.929180473493655
"AT1G01280",0,NA,NA,NA,NA,NA
"AT1G01290",302.560531166819,0.19490040642206,0.230569728505729,0.845299197276098,0.397943809138599,0.841451297058221
"AT1G01300",3014.00196551231,-0.00739170666809063,0.182607327311109,-0.0404786969774621,0.967711490468816,0.99752526958674
"AT1G01305",0.24968551610828,0.0541020456785175,0.164036598648666,0.329816919664333,0.741538302046235,NA
"AT1G01310",2.36751419508425,0.346754559473886,0.35998653347713,0.963243141693566,0.335425519559898,NA
"AT1G01320",8204.16713013922,-0.127296830228821,0.29786814612225,-0.427359661937722,0.669117383398479,0.95682078772628
"AT1G01335",0,NA,NA,NA,NA,NA
"AT1G01340",168.907360459378,-1.09301172022045,0.282075433060528,-3.87489157904053,0.000106672183032506,0.00173949589558947
"AT1G01350",495.541303479305,0.0727314418449568,0.208347316794588,0.349087489889125,0.727023628145084,0.968506400128932
"AT1G01355",5.77506946529077,-0.16663575737151,0.438980979245847,-0.379596759881905,0.704244766346243,0.965474716748809
"AT1G01360",326.216888859827,0.10866449218318,0.237524500193226,0.457487510108561,0.647320677605083,0.950877381594287
"AT1G01370",66.8295066514132,-0.0990745137901492,0.345929829735391,-0.286400608660818,0.774571308574109,0.975437716945941
"AT1G01380",49.8461014150395,-0.0161982814566736,0.367705392217282,-0.0440523359176137,0.964862686298519,0.99752526958674
"AT1G01390",837.981706985006,0.0239448892729986,0.198493490920778,0.120633120823873,0.903981633783701,0.992369348091599
"AT1G01400",0,NA,NA,NA,NA,NA
"AT1G01410",0,NA,NA,NA,NA,NA
"AT1G01420",71.5724742581102,0.232046253159036,0.351539819821805,0.660085259407199,0.5091991175667,0.904543458576338
"AT1G01430",2596.5671854797,-0.0457974488645408,0.174527684054562,-0.26240793323209,0.793006957089996,0.979298186541349
"AT1G01440",873.536734031081,-0.0599437428862825,0.19582586877477,-0.306107376218139,0.759522891924285,0.97388691048241
"AT1G01450",0,NA,NA,NA,NA,NA
"AT1G01453",2.6743149328923,0.368882351961635,0.345460786032724,1.06779804503395,0.285611620124139,NA
"AT1G01460",0,NA,NA,NA,NA,NA
"AT1G01470",4584.60436220941,1.52282148900676,0.171762661834626,8.86584705163065,7.59246376189009e-19,6.06575528379958e-17
"AT1G01480",154.47456191314,1.35544424732367,0.303165998711187,4.47096393753225,7.78678292540274e-06,0.000161084839822027
"AT1G01490",1263.5394316803,0.116319523479107,0.22376715940128,0.519823926756436,0.603186301125652,0.940402439525203
"AT1G01500",224.750877134938,0.392365636957279,0.252718229907335,1.5525814544568,0.120523159078852,0.483062777805559
"AT1G01510",1142.10982865718,-0.142013407325198,0.187282305297363,-0.758285237357113,0.448280243029295,0.87521423585427
"AT1G01520",145.974164508377,3.19226646332247,0.322551606678305,9.89691694980846,4.29305617878322e-23,4.41916470403498e-21
"AT1G01530",0.481826299888952,0.0119664211173495,0.178670495641566,0.0669748022715265,0.946601763022506,NA
"AT1G01540",2682.53873363407,0.087189623547268,0.18410612778408,0.473583495545158,0.635796947129867,0.948200296329372
"AT1G01550",4402.09504619687,0.227953964950363,0.171612036188141,1.32830989022503,0.184075753774498,0.613232606825235
"AT1G01560",8.39362824495581,0.0644146861909803,0.447737996815709,0.143866919156056,0.885605558574333,0.992284186655837
"AT1G01570",57.449604983529,0.742294044599084,0.355991479578717,2.08514553628508,0.0370560919105215,0.221746222441637
"AT1G01580",36.049677102092,0.472636546114166,0.410368438769385,1.15173707688513,0.249429131503016,0.700429985685874
"AT1G01590",0.471170463752024,-0.0986201796739832,0.177949305657623,-0.554203790284688,0.579439384644288,NA
"AT1G01600",512.903012504638,0.00571790117385615,0.245349391062195,0.0233051370093138,0.981406874087027,0.999231115808701
"AT1G01610",1965.55572002174,0.497559426053419,0.177735236687681,2.79944166011232,0.00511910659794559,0.0486917775960076
"AT1G01620",64678.7335014812,-0.219529157814586,0.172357807959933,-1.27368269771462,0.202775890798828,0.642919383665586
"AT1G01630",960.400460663612,-0.15066184692728,0.206776482300309,-0.728621771930851,0.466233056823938,0.884580216663529
"AT1G01640",231.751804196333,-0.466682883676959,0.27308425506855,-1.70893368993321,0.0874632330976056,0.397595601667268
"AT1G01650",1724.8478509345,0.492130101445799,0.178987915413878,2.74951580003508,0.00596833854060728,0.0552716680332796
"AT1G01660",8.83147213182454,-0.19686004627351,0.455658665117961,-0.432034023148767,0.665716685309415,0.956563310876726
"AT1G01670",5.64542814751662,-0.156245428713251,0.437530829864111,-0.357107243761035,0.721011521812169,0.968058251821716
"AT1G01680",33.9084044102258,0.55865073539117,0.452653273448965,1.23416921551139,0.217139856052945,0.659697507783802
